,Date,Stage,Distance Covered,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,21_1,22_1,23_1
10,17-07-2019,11º stage Distance:,167 km,Road – Stage,"    Albi (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France",,Caleb,Ewan,Australia ,N,,,,,,,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,25  years
11,18-07-2019,12º stage Distance:,"209,5 km",Road – Stage,"    Toulouse (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France",,Simon,Yates,Great Britain ,N,,,,,,,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
12,19-07-2019,13º stage Distance:,"27,2 km",Road – Individual Time Trial,,"Pau (Aquitaine), France",,Julian,Alaphilippe,France ,N,,,,,,,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
13,20-07-2019,14º stage Distance:,"117,5 km",Road – Stage,"    Tarbes (Midi-Pyrenees), France ","Col du Tourmalet (Midi-Pyrenees), France",,Thibaut,Pinot,France ,N,,,,,,,29  years,Date of birth:,29-05-1990,Place of birth:,"Mélisey (Franche-Comte), France ",Date of death:||Place of death:|,2010-,, , ,,,,,,,,Professional:, ,Age:,29  years
14,21-07-2019,15º stage Distance:,185 km,Road – Stage,"    Limoux (Languedoc-Roussillon), France ","Prat d'Albis (Midi-Pyrenees), France",,Simon,Yates,Great Britain ,N,,,,,,,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
15,23-07-2019,16º stage Distance:,177 km,Road – Stage,,"Nîmes (Languedoc-Roussillon), France",,Caleb,Ewan,Australia ,N,,,,,,,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,25  years
16,24-07-2019,17º stage Distance:,200 km,Road – Stage,"    Vers (Languedoc-Roussillon), France ","Gap (Provence-Alpes-Cote d'Azur), France",,Matteo,Trentin,Italy ,N,,,,,,,30  years,Date of birth:,02-08-1989,Place of birth:,"Borgo Valsugana (Trentino-Alto Adige), Italy ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,30  years
17,25-07-2019,18º stage Distance:,208 km,Road – Stage,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Valloire (Rhone-Alpes), France",,Nairo Alexander,Quintana Rojas,Colombia ,N,,,,,,,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
18,26-07-2019,19º stage Distance:,"88,5 km",Road – Stage,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","Tignes (Rhone-Alpes), France",,Egan Arley,Bernal Gómez,Colombia ,N,,,,,,,22  years,Date of birth:,13-01-1997,Place of birth:, ,Date of death:||Place of death:|,2016-,, , ,,,,,,,,Professional:, ,Age:,22  years
19,27-07-2019,20º stage Distance:,59 km,Road – Stage,"    Albertville (Rhone-Alpes), France ","Val Thorens (Rhone-Alpes), France",,Vincenzo,Nibali,Italy ,N,,,,,,,34  years,Date of birth:,14-11-1984,Place of birth:,"Messina (Sicilia), Italy ",Date of death:||Place of death:|,2005-,, , ,,,,,,,,Professional:, ,Age:,34  years
20,28-07-2019,21º stage Distance:,127 km,Road – Stage,"    Rambouillet (Ile de France), France ","Paris (Ile-de-France), France",,Caleb,Ewan,Australia ,N,,,,,,,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,25  years
21,28-07-2019, Distance:, km,Classification – Road – General Classification,,,2.WT/WT/PT,Egan Arley,Bernal Gómez,Colombia ,N,,,,,,,22  years,Date of birth:,13-01-1997,Place of birth:, ,Date of death:||Place of death:|,2016-,, , ,,,,,,,,Professional:, ,Age:,22  years
22,28-07-2019, Distance:, km,Classification – Road – Points Classification,,,2.WT/WT/PT,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
23,28-07-2019, Distance:, km,Classification – Road – Mountains Classification,,,2.WT/WT/PT,Romain,Bardet,France ,N,,,,,,,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,28  years
24,07-07-2018,1º stage Distance:,189 km,Road – Stage,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Fontenay-le-Comte (Pays de la Loire), France",,Fernando,Gaviria Rendon,Colombia ,N,,,,,,,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,25  years
25,08-07-2018,2º stage Distance:,183 km,Road – Stage,"    Mouilleron (Pays de la Loire), France ","La Roche-sur-Yon (Pays de la Loire), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
26,09-07-2018,3º stage Distance:,35 km,Road – Team Time Trial,"    Cholet (Pays de la Loire), France ","Cholet (Pays de la Loire), France",,Patrick,Bevin,New Zealand ,N,,,,,,,28  years,Date of birth:,15-02-1991,Place of birth:,"Taupo (Auckland), New Zealand ",Date of death:||Place of death:|,2010-,, , ,,,,,,,,Professional:, ,Age:,28  years
27,10-07-2018,4º stage Distance:,192 km,Road – Stage,"    La Baule-Escoublac (Pays de la Loire), France ","Sarzeau (Bretagne), France",,Fernando,Gaviria Rendon,Colombia ,N,,,,,,,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,25  years
28,11-07-2018,5º stage Distance:,203 km,Road – Stage,"    Lorient (Bretagne), France ","Quimper (Bretagne), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
29,12-07-2018,6º stage Distance:,181 km,Road – Stage,"    Brest (Bretagne), France ","Guerlédan (Bretagne), France",,Dan,Martin,Ireland ,Y,   GBR , 20-08-1986 , 31-12-2005,,,,33  years,Age:,33  years,Date of birth:,20-08-1986,|Place of birth:,"Birmingham (Birmingham), Great Britain ",Professional:,2008-,, , ,,,,,,|Place of birth:,   GBR from 20-08-1986 until 31-12-2005,Gender:, 
30,13-07-2018,7º stage Distance:,231 km,Road – Stage,"    Fougères (Bretagne), France ","Chartres (Bretagne), France",,Dylan,Groenewegen,The Netherlands ,N,,,,,,,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,26  years
31,14-07-2018,8º stage Distance:,181 km,Road – Stage,"    Dreux (Centre), France ","Amiens (Picardie), France",,Dylan,Groenewegen,The Netherlands ,N,,,,,,,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,26  years
32,15-07-2018,9º stage Distance:,154 km,Road – Stage,"    Arras (Nord-Pas-de-Calais), France ","Roubaix (Nord-Pas-de-Calais), France",,John,Degenkolb,Germany ,N,,,,,,,30  years,Date of birth:,07-01-1989,Place of birth:,"Gera (Thuringen), Germany ",Date of death:||Place of death:|,2008-,Websites:,http://www.johndegenkolb.de/, , ,,,,,,,Professional:, ,Age:,30  years
33,17-07-2018,10º stage Distance:,159 km,Road – Stage,"    Annecy (Rhone-Alpes), France ","Le Grand Bornand (Rhone-Alpes), France",,Julian,Alaphilippe,France ,N,,,,,,,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
34,18-07-2018,11º stage Distance:,108 km,Road – Stage,"    Albertville (Rhone-Alpes), France ","La Rosière (Rhone-Alpes), France",,Geraint,Thomas,Great Britain ,N,,,,,,,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Date of death:||Place of death:|,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,,Professional:, ,Age:,33  years
35,19-07-2018,12º stage Distance:,175 km,Road – Stage,"    Bourg-Saint-Maurice (Rhone-Alpes), France ","Alpe d'Huez (Rhone-Alpes), France",,Geraint,Thomas,Great Britain ,N,,,,,,,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Date of death:||Place of death:|,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,,Professional:, ,Age:,33  years
36,20-07-2018,13º stage Distance:,169 km,Road – Stage,"    Bourg d'Oisans (Rhone-Alpes), France ","Valence (Rhone-Alpes), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
37,21-07-2018,14º stage Distance:,187 km,Road – Stage,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ","Mende (Languedoc-Roussillon), France",,Omar,Fraile Matarranz,Spain ,N,,,,,,,29  years,Date of birth:,17-07-1990,Place of birth:,"Santurce (Pais Vasco), Spain ",Date of death:||Place of death:|,2012-,Websites:,http://www.omarfraile.com, , ,,,,,,,Professional:, ,Age:,29  years
38,22-07-2018,15º stage Distance:,181 km,Road – Stage,"    Millau (Midi-Pyrenees), France ","Carcassonne (Languedoc-Roussillon), France",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24-07-2018,16º stage Distance:,218 km,Road – Stage,"    Carcassonne (Languedoc-Roussillon), France ","Bagnères-de-Luchon (Midi-Pyrenees), France",,Julian,Alaphilippe,France ,N,,,,,,,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
40,25-07-2018,17º stage Distance:,65 km,Road – Stage,"    Bagnères-de-Luchon (Midi-Pyrenees), France ","Saint-Lary-Soulan (Midi-Pyrenees), France",,Nairo Alexander,Quintana Rojas,Colombia ,N,,,,,,,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
41,26-07-2018,18º stage Distance:,172 km,Road – Stage,"    Trie-sur-Baïse (Midi-Pyrenees), France ","Pau (Aquitaine), France",,Arnaud,Démare,France ,N,,,,,,,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,28  years
42,27-07-2018,19º stage Distance:,200 km,Road – Stage,"    Lourdes (Midi-Pyrenees), France ","Laruns (Aquitaine), France",,Primož,Roglič,Slovenia ,N,,,,,,,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,29  years
43,28-07-2018,20º stage Distance:,31 km,Road – Individual Time Trial,"    Saint-Pée-sur-Nivelle (Aquitaine), France ","Espelette (Aquitaine), France",,Tom,Dumoulin,The Netherlands ,N,,,,,,,28  years,Date of birth:,11-11-1990,Place of birth:,"Maastricht (Limburg), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,28  years
44,29-07-2018,21º stage Distance:,115 km,Road – Stage,"    Houilles (Ile-de-France), France ","Paris (Ile-de-France), France",,Alexander,Kristoff,Norway ,N,,,,,,,32  years,Date of birth:,05-07-1987,Place of birth:,"Oslo (Oslo), Norway ",Date of death:||Place of death:|,2006-,, , ,,,,,,,,Professional:, ,Age:,32  years
45,29-07-2018, Distance:,3369 km,Classification – Road – General Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Geraint,Thomas,Great Britain ,N,,,,,,,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Date of death:||Place of death:|,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,,Professional:, ,Age:,33  years
46,29-07-2018, Distance:, km,Classification – Road – Points Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
47,29-07-2018, Distance:, km,Classification – Road – Mountains Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Julian,Alaphilippe,France ,N,,,,,,,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
48,01-07-2017,1º stage Distance:,13 km,Road – Individual Time Trial,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Düsseldorf (Nordrhein-Westfalen), Germany",,Geraint,Thomas,Great Britain ,N,,,,,,,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Date of death:||Place of death:|,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,,Professional:, ,Age:,33  years
49,02-07-2017,2º stage Distance:,202 km,Road – Stage,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Liège (Liege), Belgium",,Marcel,Kittel,Germany ,N,,,,,,,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,31  years
50,03-07-2017,3º stage Distance:,202 km,Road – Stage,"    Verviers (Liege), Belgium ","Longwy (Lorraine), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
51,04-07-2017,4º stage Distance:,203 km,Road – Stage,"    Mondorf-les-Bains (Grevenmacher), Luxemburg ","Vittel (Lorraine), France",,Arnaud,Démare,France ,N,,,,,,,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,28  years
52,05-07-2017,5º stage Distance:,160 km,Road – Stage,"    Vittel (Lorraine), France ","Planche des Belles Filles (Franche-Comte), France",,Fabio,Aru,Italy ,N,,,,,,,29  years,Date of birth:,03-07-1990,Place of birth:,"Villacidro (Sardegna), Italy ",Date of death:||Place of death:|,01-08-2012-,Websites:,http://fabioaru.it/,http://www.fabioarufanclub.it, , ,,,,,,Professional:, ,Age:,29  years
53,06-07-2017,6º stage Distance:,216 km,Road – Stage,"    Vesoul (Franche-Comte), France ","Troyes (Champagne-Ardenne), France",,Marcel,Kittel,Germany ,N,,,,,,,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,31  years
54,07-07-2017,7º stage Distance:,214 km,Road – Stage,"    Troyes (Champagne-Ardenne), France ","Nuits-Saint-Georges (Bourgogne), France",,Marcel,Kittel,Germany ,N,,,,,,,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,31  years
55,08-07-2017,8º stage Distance:,187 km,Road – Stage,"    Dole (Franche-Comte), France ","Rousses (Languedoc-Roussillon), France",,Lilian,Calmejane,France ,N,,,,,,,26  years,Date of birth:,06-12-1992,Place of birth:,"Albi (Midi-Pyrenees), France ",Date of death:||Place of death:|,2016-,, , ,,,,,,,,Professional:, ,Age:,26  years
56,09-07-2017,9º stage Distance:,181 km,Road – Stage,"    Nantua (Rhone-Alpes), France ","Chambéry (Rhone-Alpes), France",,Rigoberto,Urán Urán,Colombia ,N,,,,,,,32  years,Date of birth:,26-01-1987,Place of birth:,"Urrao (Antioquia), Colombia ",Date of death:||Place of death:|,2006-,, , ,,,,,,,,Professional:, ,Age:,32  years
57,11-07-2017,10º stage Distance:,178 km,Road – Stage,"    Périgueux (Aquitaine), France ","Bergerac (Aquitaine), France",,Marcel,Kittel,Germany ,N,,,,,,,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,31  years
58,12-07-2017,11º stage Distance:,202 km,Road – Stage,"    Eymet (Aquitaine), France ","Pau (Aquitaine), France",,Marcel,Kittel,Germany ,N,,,,,,,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,31  years
59,13-07-2017,12º stage Distance:,214 km,Road – Stage,"    Pau (Aquitaine), France ","Peyragudes (Midi-Pyrenees), France",,Romain,Bardet,France ,N,,,,,,,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,28  years
60,14-07-2017,13º stage Distance:,100 km,Road – Stage,"    Saint-Girons (Midi-Pyrenees), France ","Foix (Midi-Pyrenees), France",,Warren,Barguil,France ,N,,,,,,,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,27  years
61,15-07-2017,14º stage Distance:,181 km,Road – Stage,"    Blagnac (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France",,Michael,Matthews,Australia ,N,,,,,,,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,28  years
62,16-07-2017,15º stage Distance:,189 km,Road – Stage,"    Laissac (Midi-Pyrenees), France ","Le Puy-en Velay (Auvergne), France",,Bauke,Mollema,The Netherlands ,N,,,,,,,32  years,Date of birth:,26-11-1986,Place of birth:,"Groningen (Groningen), The Netherlands ",Date of death:||Place of death:|,2007-,, , ,,,,,,,,Professional:, ,Age:,32  years
63,18-07-2017,16º stage Distance:,165 km,Road – Stage,"    Le Puy-en Velay (Auvergne), France ","Romans-sur-Isère (Rhone-Alpes), France",,Michael,Matthews,Australia ,N,,,,,,,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,28  years
64,19-07-2017,17º stage Distance:,183 km,Road – Stage,"    La Mure (Rhone-Alpes), France ","Serre Chevalier (Provence-Alpes-Cote d'Azur), France",,Primož,Roglič,Slovenia ,N,,,,,,,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,29  years
65,20-07-2017,18º stage Distance:,178 km,Road – Stage,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France",,Warren,Barguil,France ,N,,,,,,,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,27  years
66,21-07-2017,19º stage Distance:,220 km,Road – Stage,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Salon-de-Provence (Provence-Alpes-Cote d'Azur), France",,Edvald,Boasson Hagen,Norway ,N,,,,,,,32  years,Date of birth:,17-05-1987,Place of birth:,"Lillehammer (Oppland), Norway ",Date of death:||Place of death:|,2006-,, , ,,,,,,,,Professional:, ,Age:,32  years
67,22-07-2017,20º stage Distance:,23 km,Road – Individual Time Trial,"    Marseilles (Provence-Alpes-Cote d'Azur), France ","Marseilles (Provence-Alpes-Cote d'Azur), France",,Maciej,Bodnar,Poland ,N,,,,,,,34  years,Date of birth:,07-03-1985,Place of birth:,"Oława (Dolnośląskie), Poland ",Date of death:||Place of death:|,2005-,, , ,,,,,,,,Professional:, ,Age:,34  years
68,23-07-2017,21º stage Distance:,105 km,Road – Stage,"    Montgeron (Ile-de-France), France ","Paris (Ile-de-France), France",,Dylan,Groenewegen,The Netherlands ,N,,,,,,,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,26  years
69,23-07-2017, Distance:, km,Classification – Road – General Classification,,,2.WT/WT/PT,Chris,Froome,Great Britain ,Y,   KEN , 20-05-1985 , 31-12-2007,   GBR , 01-01-2008,,34  years, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,,20-05-1985,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:
70,23-07-2017, Distance:, km,Classification – Road – Points Classification,,,2.WT/WT/PT,Michael,Matthews,Australia ,N,,,,,,,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,28  years
71,23-07-2017, Distance:, km,Classification – Road – Mountains Classification,,,2.WT/WT/PT,Warren,Barguil,France ,N,,,,,,,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,27  years
72,02-07-2016,1º stage Distance:,188 km,Road – Stage,"    Le Mont-Saint-Michel (Basse-Normandie), France ","Pouppeville (Basse-Normandie), France",,Mark,Cavendish,Great Britain ,N,,,,,,,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Date of death:||Place of death:|,2005-,, , ,,,,,,,,Professional:, ,Age:,34  years
73,03-07-2016,2º stage Distance:,182 km,Road – Stage,"    Saint-Lô (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
74,04-07-2016,3º stage Distance:,222 km,Road – Stage,"    Granville (Basse-Normandie), France ","Angers (Pays de la Loire), France",,Mark,Cavendish,Great Britain ,N,,,,,,,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Date of death:||Place of death:|,2005-,, , ,,,,,,,,Professional:, ,Age:,34  years
