,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span,Total Career Span,Full Name
14,2019-07-21,15 ,185.0,Stage,"    Limoux (Languedoc-Roussillon), France ","Prat d'Albis (Midi-Pyrenees), France",,Simon,Yates,Great Britain ,N,,1992-07-08,,,,,27  years,1992-07-08,Bury (Bury), Great Britain ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Simon Yates
15,2019-07-23,16 ,177.0,Stage,,"Nîmes (Languedoc-Roussillon), France",,Caleb,Ewan,Australia ,N,,1994-11-07,,,,,25  years,1994-11-07,Sydney (New South Wales), Australia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Caleb Ewan
16,2019-07-24,17 ,200.0,Stage,"    Vers (Languedoc-Roussillon), France ","Gap (Provence-Alpes-Cote d'Azur), France",,Matteo,Trentin,Italy ,N,,1989-02-08,,,,,30  years,1989-02-08,Borgo Valsugana (Trentino-Alto Adige), Italy ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Matteo Trentin
17,2019-07-25,18 ,208.0,Stage,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Valloire (Rhone-Alpes), France",,Nairo Alexander,Quintana Rojas,Colombia ,N,,1990-04-02,,,,,29  years,1990-04-02,Cómbita (Boyaca), Colombia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Nairo Alexander Quintana Rojas
18,2019-07-26,19 ,88.5,Stage,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","Tignes (Rhone-Alpes), France",,Egan Arley,Bernal Gómez,Colombia ,N,,1997-01-13,,,,,22  years,1997-01-13,,,,,,2016,0,0,0,0,0,0,0,0,0,0,3,Egan Arley Bernal Gómez
19,2019-07-27,20 ,59.0,Stage,"    Albertville (Rhone-Alpes), France ","Val Thorens (Rhone-Alpes), France",,Vincenzo,Nibali,Italy ,N,,1984-11-14,,,,,34  years,1984-11-14,Messina (Sicilia), Italy ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Vincenzo Nibali
20,2019-07-28,21 ,127.0,Stage,"    Rambouillet (Ile de France), France ","Paris (Ile-de-France), France",,Caleb,Ewan,Australia ,N,,1994-11-07,,,,,25  years,1994-11-07,Sydney (New South Wales), Australia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Caleb Ewan
21,2019-07-28,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Egan Arley,Bernal Gómez,Colombia ,N,,1997-01-13,,,,,22  years,1997-01-13,,,,,,2016,0,0,0,0,0,0,0,0,0,0,3,Egan Arley Bernal Gómez
22,2019-07-28,Total Distance,0.0,Points Classification,,,2.WT/WT/PT,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
23,2019-07-28,Total Distance,0.0,Mountains Classification,,,2.WT/WT/PT,Romain,Bardet,France ,N,,1990-09-11,,,,,28  years,1990-09-11,Brioude (Auvergne), France ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Romain Bardet
24,2018-07-07,1 ,189.0,Stage,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Fontenay-le-Comte (Pays de la Loire), France",,Fernando,Gaviria Rendon,Colombia ,N,,1994-08-19,,,,,25  years,1994-08-19,La Ceja (Antioquia), Colombia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Fernando Gaviria Rendon
25,2018-08-07,2 ,183.0,Stage,"    Mouilleron (Pays de la Loire), France ","La Roche-sur-Yon (Pays de la Loire), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
26,2018-09-07,3 ,35.0,Team Time Trial,"    Cholet (Pays de la Loire), France ","Cholet (Pays de la Loire), France",,Patrick,Bevin,New Zealand ,N,,1991-02-15,,,,,28  years,1991-02-15,Taupo (Auckland), New Zealand ,,,,2010,0,0,0,0,0,0,0,0,0,0,9,Patrick Bevin
27,2018-10-07,4 ,192.0,Stage,"    La Baule-Escoublac (Pays de la Loire), France ","Sarzeau (Bretagne), France",,Fernando,Gaviria Rendon,Colombia ,N,,1994-08-19,,,,,25  years,1994-08-19,La Ceja (Antioquia), Colombia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Fernando Gaviria Rendon
28,2018-11-07,5 ,203.0,Stage,"    Lorient (Bretagne), France ","Quimper (Bretagne), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
29,2018-12-07,6 ,181.0,Stage,"    Brest (Bretagne), France ","Guerlédan (Bretagne), France",,Dan,Martin,Ireland ,Y,   GBR ,1986-08-20, 31-12-2005,,,,33  years,1986-08-20,Birmingham (Birmingham), Great Britain ,,,,2008,0,0,0,0,0,0,0,0,0,0,11,Dan Martin
30,2018-07-13,7 ,231.0,Stage,"    Fougères (Bretagne), France ","Chartres (Bretagne), France",,Dylan,Groenewegen,The Netherlands ,N,,1993-06-21,,,,,26  years,1993-06-21,Amsterdam (Noord-Holland), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Dylan Groenewegen
31,2018-07-14,8 ,181.0,Stage,"    Dreux (Centre), France ","Amiens (Picardie), France",,Dylan,Groenewegen,The Netherlands ,N,,1993-06-21,,,,,26  years,1993-06-21,Amsterdam (Noord-Holland), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Dylan Groenewegen
32,2018-07-15,9 ,154.0,Stage,"    Arras (Nord-Pas-de-Calais), France ","Roubaix (Nord-Pas-de-Calais), France",,John,Degenkolb,Germany ,N,,1989-07-01,,,,,30  years,1989-07-01,Gera (Thuringen), Germany ,,,,2008,0,0,0,0,0,0,0,0,0,0,11,John Degenkolb
33,2018-07-17,10 ,159.0,Stage,"    Annecy (Rhone-Alpes), France ","Le Grand Bornand (Rhone-Alpes), France",,Julian,Alaphilippe,France ,N,,1992-11-06,,,,,27  years,1992-11-06,Saint-Amand-Montrond (Centre), France ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Julian Alaphilippe
34,2018-07-18,11 ,108.0,Stage,"    Albertville (Rhone-Alpes), France ","La Rosière (Rhone-Alpes), France",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Geraint Thomas
35,2018-07-19,12 ,175.0,Stage,"    Bourg-Saint-Maurice (Rhone-Alpes), France ","Alpe d'Huez (Rhone-Alpes), France",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Geraint Thomas
36,2018-07-20,13 ,169.0,Stage,"    Bourg d'Oisans (Rhone-Alpes), France ","Valence (Rhone-Alpes), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
37,2018-07-21,14 ,187.0,Stage,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ","Mende (Languedoc-Roussillon), France",,Omar,Fraile Matarranz,Spain ,N,,1990-07-17,,,,,29  years,1990-07-17,Santurce (Pais Vasco), Spain ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Omar Fraile Matarranz
38,2018-07-22,15 ,181.0,Stage,"    Millau (Midi-Pyrenees), France ","Carcassonne (Languedoc-Roussillon), France",,,,,N,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
39,2018-07-24,16 ,218.0,Stage,"    Carcassonne (Languedoc-Roussillon), France ","Bagnères-de-Luchon (Midi-Pyrenees), France",,Julian,Alaphilippe,France ,N,,1992-11-06,,,,,27  years,1992-11-06,Saint-Amand-Montrond (Centre), France ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Julian Alaphilippe
40,2018-07-25,17 ,65.0,Stage,"    Bagnères-de-Luchon (Midi-Pyrenees), France ","Saint-Lary-Soulan (Midi-Pyrenees), France",,Nairo Alexander,Quintana Rojas,Colombia ,N,,1990-04-02,,,,,29  years,1990-04-02,Cómbita (Boyaca), Colombia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Nairo Alexander Quintana Rojas
41,2018-07-26,18 ,172.0,Stage,"    Trie-sur-Baïse (Midi-Pyrenees), France ","Pau (Aquitaine), France",,Arnaud,Démare,France ,N,,1991-08-26,,,,,28  years,1991-08-26,Beauvais (Picardie), France ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Arnaud Démare
42,2018-07-27,19 ,200.0,Stage,"    Lourdes (Midi-Pyrenees), France ","Laruns (Aquitaine), France",,Primož,Roglič,Slovenia ,N,,1989-10-29,,,,,29  years,1989-10-29,Kisovec (Zagorje ob Savi), Slovenia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Primož Roglič
43,2018-07-28,20 ,31.0,Individual Time Trial,"    Saint-Pée-sur-Nivelle (Aquitaine), France ","Espelette (Aquitaine), France",,Tom,Dumoulin,The Netherlands ,N,,1990-11-11,,,,,28  years,1990-11-11,Maastricht (Limburg), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Tom Dumoulin
44,2018-07-29,21 ,115.0,Stage,"    Houilles (Ile-de-France), France ","Paris (Ile-de-France), France",,Alexander,Kristoff,Norway ,N,,1987-05-07,,,,,32  years,1987-05-07,Oslo (Oslo), Norway ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Alexander Kristoff
45,2018-07-29,Total Distance,3369.0,General Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Geraint Thomas
46,2018-07-29,Total Distance,0.0,Points Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
47,2018-07-29,Total Distance,0.0,Mountains Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Julian,Alaphilippe,France ,N,,1992-11-06,,,,,27  years,1992-11-06,Saint-Amand-Montrond (Centre), France ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Julian Alaphilippe
48,2017-01-07,1 ,13.0,Individual Time Trial,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Düsseldorf (Nordrhein-Westfalen), Germany",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Geraint Thomas
49,2017-02-07,2 ,202.0,Stage,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Liège (Liege), Belgium",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
50,2017-03-07,3 ,202.0,Stage,"    Verviers (Liege), Belgium ","Longwy (Lorraine), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
51,2017-04-07,4 ,203.0,Stage,"    Mondorf-les-Bains (Grevenmacher), Luxemburg ","Vittel (Lorraine), France",,Arnaud,Démare,France ,N,,1991-08-26,,,,,28  years,1991-08-26,Beauvais (Picardie), France ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Arnaud Démare
52,2017-05-07,5 ,160.0,Stage,"    Vittel (Lorraine), France ","Planche des Belles Filles (Franche-Comte), France",,Fabio,Aru,Italy ,N,,1990-03-07,,,,,29  years,1990-03-07,Villacidro (Sardegna), Italy ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Fabio Aru
53,2017-06-07,6 ,216.0,Stage,"    Vesoul (Franche-Comte), France ","Troyes (Champagne-Ardenne), France",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
54,2017-07-07,7 ,214.0,Stage,"    Troyes (Champagne-Ardenne), France ","Nuits-Saint-Georges (Bourgogne), France",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
55,2017-08-07,8 ,187.0,Stage,"    Dole (Franche-Comte), France ","Rousses (Languedoc-Roussillon), France",,Lilian,Calmejane,France ,N,,1992-06-12,,,,,26  years,1992-06-12,Albi (Midi-Pyrenees), France ,,,,2016,0,0,0,0,0,0,0,0,0,0,3,Lilian Calmejane
56,2017-09-07,9 ,181.0,Stage,"    Nantua (Rhone-Alpes), France ","Chambéry (Rhone-Alpes), France",,Rigoberto,Urán Urán,Colombia ,N,,1987-01-26,,,,,32  years,1987-01-26,Urrao (Antioquia), Colombia ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Rigoberto Urán Urán
57,2017-11-07,10 ,178.0,Stage,"    Périgueux (Aquitaine), France ","Bergerac (Aquitaine), France",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
58,2017-12-07,11 ,202.0,Stage,"    Eymet (Aquitaine), France ","Pau (Aquitaine), France",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
59,2017-07-13,12 ,214.0,Stage,"    Pau (Aquitaine), France ","Peyragudes (Midi-Pyrenees), France",,Romain,Bardet,France ,N,,1990-09-11,,,,,28  years,1990-09-11,Brioude (Auvergne), France ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Romain Bardet
60,2017-07-14,13 ,100.0,Stage,"    Saint-Girons (Midi-Pyrenees), France ","Foix (Midi-Pyrenees), France",,Warren,Barguil,France ,N,,1991-10-28,,,,,27  years,1991-10-28,Hennebont (Bretagne), France ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Warren Barguil
61,2017-07-15,14 ,181.0,Stage,"    Blagnac (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France",,Michael,Matthews,Australia ,N,,1990-09-26,,,,,28  years,1990-09-26,Canberra (Australian Capital Territory), Australia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Michael Matthews
62,2017-07-16,15 ,189.0,Stage,"    Laissac (Midi-Pyrenees), France ","Le Puy-en Velay (Auvergne), France",,Bauke,Mollema,The Netherlands ,N,,1986-11-26,,,,,32  years,1986-11-26,Groningen (Groningen), The Netherlands ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Bauke Mollema
63,2017-07-18,16 ,165.0,Stage,"    Le Puy-en Velay (Auvergne), France ","Romans-sur-Isère (Rhone-Alpes), France",,Michael,Matthews,Australia ,N,,1990-09-26,,,,,28  years,1990-09-26,Canberra (Australian Capital Territory), Australia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Michael Matthews
64,2017-07-19,17 ,183.0,Stage,"    La Mure (Rhone-Alpes), France ","Serre Chevalier (Provence-Alpes-Cote d'Azur), France",,Primož,Roglič,Slovenia ,N,,1989-10-29,,,,,29  years,1989-10-29,Kisovec (Zagorje ob Savi), Slovenia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Primož Roglič
65,2017-07-20,18 ,178.0,Stage,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France",,Warren,Barguil,France ,N,,1991-10-28,,,,,27  years,1991-10-28,Hennebont (Bretagne), France ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Warren Barguil
66,2017-07-21,19 ,220.0,Stage,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Salon-de-Provence (Provence-Alpes-Cote d'Azur), France",,Edvald,Boasson Hagen,Norway ,N,,1987-05-17,,,,,32  years,1987-05-17,Lillehammer (Oppland), Norway ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Edvald Boasson Hagen
67,2017-07-22,20 ,23.0,Individual Time Trial,"    Marseilles (Provence-Alpes-Cote d'Azur), France ","Marseilles (Provence-Alpes-Cote d'Azur), France",,Maciej,Bodnar,Poland ,N,,1985-07-03,,,,,34  years,1985-07-03,Oława (Dolnośląskie), Poland ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Maciej Bodnar
68,2017-07-23,21 ,105.0,Stage,"    Montgeron (Ile-de-France), France ","Paris (Ile-de-France), France",,Dylan,Groenewegen,The Netherlands ,N,,1993-06-21,,,,,26  years,1993-06-21,Amsterdam (Noord-Holland), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Dylan Groenewegen
69,2017-07-23,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
70,2017-07-23,Total Distance,0.0,Points Classification,,,2.WT/WT/PT,Michael,Matthews,Australia ,N,,1990-09-26,,,,,28  years,1990-09-26,Canberra (Australian Capital Territory), Australia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Michael Matthews
71,2017-07-23,Total Distance,0.0,Mountains Classification,,,2.WT/WT/PT,Warren,Barguil,France ,N,,1991-10-28,,,,,27  years,1991-10-28,Hennebont (Bretagne), France ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Warren Barguil
72,2016-02-07,1 ,188.0,Stage,"    Le Mont-Saint-Michel (Basse-Normandie), France ","Pouppeville (Basse-Normandie), France",,Mark,Cavendish,Great Britain ,N,,1985-05-21,,,,,34  years,1985-05-21,Isle of Man , Great Britain ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Mark Cavendish
73,2016-03-07,2 ,182.0,Stage,"    Saint-Lô (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
74,2016-04-07,3 ,222.0,Stage,"    Granville (Basse-Normandie), France ","Angers (Pays de la Loire), France",,Mark,Cavendish,Great Britain ,N,,1985-05-21,,,,,34  years,1985-05-21,Isle of Man , Great Britain ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Mark Cavendish
75,2016-05-07,4 ,232.0,Stage,"    Saumur (Pays de la Loire), France ","Limoges (Limousin), France",,Marcel,Kittel,Germany ,N,,1988-11-05,,,,,31  years,1988-11-05,Arnstadt (Thuringen), Germany ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Marcel Kittel
76,2016-06-07,5 ,216.0,Stage,"    Limoges (Limousin), France ","Laveissière (Auvergne), France",,Greg,Van Avermaet,Belgium ,N,,1985-05-17,,,,,34  years,1985-05-17,Lokeren (Oost-Vlaanderen), Belgium ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Greg Van Avermaet
77,2016-07-07,6 ,187.0,Stage,"    Arpajon-sur-Cère (Auvergne), France ","Montauban (Midi-Pyrenees), France",,Mark,Cavendish,Great Britain ,N,,1985-05-21,,,,,34  years,1985-05-21,Isle of Man , Great Britain ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Mark Cavendish
78,2016-08-07,7 ,172.0,Stage,"    L'Isle-Jourdain (Midi-Pyrenees), France ","Payolle (Midi-Pyrenees), France",,Stephen,Cummings,Great Britain ,N,,1981-03-19,,,,,38  years,1981-03-19,Wirral , Great Britain ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Stephen Cummings
79,2016-09-07,8 ,183.0,Stage,"    Pau (Aquitaine), France ","Bagnères-de-Luchon (Midi-Pyrenees), France",,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
80,2016-10-07,9 ,184.0,Stage,"    Vielha (Cataluña), Spain ","Andorra (Andorra la Vella), Andorra",,Tom,Dumoulin,The Netherlands ,N,,1990-11-11,,,,,28  years,1990-11-11,Maastricht (Limburg), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Tom Dumoulin
81,2016-12-07,10 ,198.0,Stage,"    Andorra (Andorra la Vella), Andorra ","Revel (Midi-Pyrenees), France",,Michael,Matthews,Australia ,N,,1990-09-26,,,,,28  years,1990-09-26,Canberra (Australian Capital Territory), Australia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Michael Matthews
82,2016-07-13,11 ,164.0,Stage,"    Carcassonne (Languedoc-Roussillon), France ","Montpellier (Poitou-Charentes), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
83,2016-07-14,12 ,185.0,Stage,"    Montpellier (Languedoc-Roussillon), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France",,Thomas,De Gendt,Belgium ,N,,1986-06-11,,,,,32  years,1986-06-11,Sint-Niklaas (Oost-Vlaanderen), Belgium ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Thomas De Gendt
84,2016-07-15,13 ,37.0,Individual Time Trial,"    Bourg-Saint-Andéol (Rhone-Alpes), France ","Caverne du Pont d'Arc (Rhone-Alpes), France",,Tom,Dumoulin,The Netherlands ,N,,1990-11-11,,,,,28  years,1990-11-11,Maastricht (Limburg), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Tom Dumoulin
