,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
17,Date:,25-07-2019,18º stage Distance:,208 km,Road – Stage,          Departure:,"    Embrun (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Valloire (Rhone-Alpes), France",,,,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Professional:,2009-,, , ,,,,,,,
18,Date:,26-07-2019,19º stage Distance:,"88,5 km",Road – Stage,          Departure:,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ",              Arrival:,"Tignes (Rhone-Alpes), France",,,,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,Date of birth:,13-01-1997,Place of birth:, ,Professional:,2016-,, , ,,,,,,,
19,Date:,27-07-2019,20º stage Distance:,59 km,Road – Stage,          Departure:,"    Albertville (Rhone-Alpes), France ",              Arrival:,"Val Thorens (Rhone-Alpes), France",,,,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,Date of birth:,14-11-1984,Place of birth:,"Messina (Sicilia), Italy ",Professional:,2005-,, , ,,,,,,,
20,Date:,28-07-2019,21º stage Distance:,127 km,Road – Stage,          Departure:,"    Rambouillet (Ile de France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
21,Date:,28-07-2019, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,Date of birth:,13-01-1997,Place of birth:, ,Professional:,2016-,, , ,,,,,,,
22,Date:,28-07-2019, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
23,Date:,28-07-2019, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
24,Date:,07-07-2018,1º stage Distance:,189 km,Road – Stage,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Fontenay-le-Comte (Pays de la Loire), France",,,,Name:,Fernando,Family name:,Gaviria Rendon,Nationality:,Colombia ,Gender:, ,Age:,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Professional:,2013-,, , ,,,,,,,
25,Date:,08-07-2018,2º stage Distance:,183 km,Road – Stage,          Departure:,"    Mouilleron (Pays de la Loire), France ",              Arrival:,"La Roche-sur-Yon (Pays de la Loire), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
26,Date:,09-07-2018,3º stage Distance:,35 km,Road – Team Time Trial,          Departure:,"    Cholet (Pays de la Loire), France ",              Arrival:,"Cholet (Pays de la Loire), France",,,,Name:,Patrick,Family name:,Bevin,Nationality:,New Zealand ,Gender:, ,Age:,28  years,Date of birth:,15-02-1991,Place of birth:,"Taupo (Auckland), New Zealand ",Professional:,2010-,, , ,,,,,,,
27,Date:,10-07-2018,4º stage Distance:,192 km,Road – Stage,          Departure:,"    La Baule-Escoublac (Pays de la Loire), France ",              Arrival:,"Sarzeau (Bretagne), France",,,,Name:,Fernando,Family name:,Gaviria Rendon,Nationality:,Colombia ,Gender:, ,Age:,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Professional:,2013-,, , ,,,,,,,
28,Date:,11-07-2018,5º stage Distance:,203 km,Road – Stage,          Departure:,"    Lorient (Bretagne), France ",              Arrival:,"Quimper (Bretagne), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
29,Date:,12-07-2018,6º stage Distance:,181 km,Road – Stage,          Departure:,"    Brest (Bretagne), France ",              Arrival:,"Guerlédan (Bretagne), France",,,,Name:,Dan,Family name:,Martin,Nationality:,Ireland ,,   GBR from 20-08-1986 until 31-12-2005,Gender:, ,Age:,33  years,Date of birth:,20-08-1986,Place of birth:,"Birmingham (Birmingham), Great Britain ",Professional:,2008-,, , ,,,,,
30,Date:,13-07-2018,7º stage Distance:,231 km,Road – Stage,          Departure:,"    Fougères (Bretagne), France ",              Arrival:,"Chartres (Bretagne), France",,,,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
31,Date:,14-07-2018,8º stage Distance:,181 km,Road – Stage,          Departure:,"    Dreux (Centre), France ",              Arrival:,"Amiens (Picardie), France",,,,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
32,Date:,15-07-2018,9º stage Distance:,154 km,Road – Stage,          Departure:,"    Arras (Nord-Pas-de-Calais), France ",              Arrival:,"Roubaix (Nord-Pas-de-Calais), France",,,,Name:,John,Family name:,Degenkolb,Nationality:,Germany ,Gender:, ,Age:,30  years,Date of birth:,07-01-1989,Place of birth:,"Gera (Thuringen), Germany ",Professional:,2008-,Websites:,http://www.johndegenkolb.de/, , ,,,,,,
33,Date:,17-07-2018,10º stage Distance:,159 km,Road – Stage,          Departure:,"    Annecy (Rhone-Alpes), France ",              Arrival:,"Le Grand Bornand (Rhone-Alpes), France",,,,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
34,Date:,18-07-2018,11º stage Distance:,108 km,Road – Stage,          Departure:,"    Albertville (Rhone-Alpes), France ",              Arrival:,"La Rosière (Rhone-Alpes), France",,,,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
35,Date:,19-07-2018,12º stage Distance:,175 km,Road – Stage,          Departure:,"    Bourg-Saint-Maurice (Rhone-Alpes), France ",              Arrival:,"Alpe d'Huez (Rhone-Alpes), France",,,,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
36,Date:,20-07-2018,13º stage Distance:,169 km,Road – Stage,          Departure:,"    Bourg d'Oisans (Rhone-Alpes), France ",              Arrival:,"Valence (Rhone-Alpes), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
37,Date:,21-07-2018,14º stage Distance:,187 km,Road – Stage,          Departure:,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ",              Arrival:,"Mende (Languedoc-Roussillon), France",,,,Name:,Omar,Family name:,Fraile Matarranz,Nationality:,Spain ,Gender:, ,Age:,29  years,Date of birth:,17-07-1990,Place of birth:,"Santurce (Pais Vasco), Spain ",Professional:,2012-,Websites:,http://www.omarfraile.com, , ,,,,,,
38,Date:,22-07-2018,15º stage Distance:,181 km,Road – Stage,          Departure:,"    Millau (Midi-Pyrenees), France ",              Arrival:,"Carcassonne (Languedoc-Roussillon), France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Date:,24-07-2018,16º stage Distance:,218 km,Road – Stage,          Departure:,"    Carcassonne (Languedoc-Roussillon), France ",              Arrival:,"Bagnères-de-Luchon (Midi-Pyrenees), France",,,,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
40,Date:,25-07-2018,17º stage Distance:,65 km,Road – Stage,          Departure:,"    Bagnères-de-Luchon (Midi-Pyrenees), France ",              Arrival:,"Saint-Lary-Soulan (Midi-Pyrenees), France",,,,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Professional:,2009-,, , ,,,,,,,
41,Date:,26-07-2018,18º stage Distance:,172 km,Road – Stage,          Departure:,"    Trie-sur-Baïse (Midi-Pyrenees), France ",              Arrival:,"Pau (Aquitaine), France",,,,Name:,Arnaud,Family name:,Démare,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Professional:,2012-,, , ,,,,,,,
42,Date:,27-07-2018,19º stage Distance:,200 km,Road – Stage,          Departure:,"    Lourdes (Midi-Pyrenees), France ",              Arrival:,"Laruns (Aquitaine), France",,,,Name:,Primož,Family name:,Roglič,Nationality:,Slovenia ,Gender:, ,Age:,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Professional:,2013-,, , ,,,,,,,
43,Date:,28-07-2018,20º stage Distance:,31 km,Road – Individual Time Trial,          Departure:,"    Saint-Pée-sur-Nivelle (Aquitaine), France ",              Arrival:,"Espelette (Aquitaine), France",,,,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,Date of birth:,11-11-1990,Place of birth:,"Maastricht (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
44,Date:,29-07-2018,21º stage Distance:,115 km,Road – Stage,          Departure:,"    Houilles (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Alexander,Family name:,Kristoff,Nationality:,Norway ,Gender:, ,Age:,32  years,Date of birth:,05-07-1987,Place of birth:,"Oslo (Oslo), Norway ",Professional:,2006-,, , ,,,,,,,
45,Date:,29-07-2018, Distance:,3369 km,Classification – Road – General Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
46,Date:,29-07-2018, Distance:, km,Classification – Road – Points Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
47,Date:,29-07-2018, Distance:, km,Classification – Road – Mountains Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
48,Date:,01-07-2017,1º stage Distance:,13 km,Road – Individual Time Trial,          Departure:,"    Düsseldorf (Nordrhein-Westfalen), Germany ",              Arrival:,"Düsseldorf (Nordrhein-Westfalen), Germany",,,,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
49,Date:,02-07-2017,2º stage Distance:,202 km,Road – Stage,          Departure:,"    Düsseldorf (Nordrhein-Westfalen), Germany ",              Arrival:,"Liège (Liege), Belgium",,,,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
50,Date:,03-07-2017,3º stage Distance:,202 km,Road – Stage,          Departure:,"    Verviers (Liege), Belgium ",              Arrival:,"Longwy (Lorraine), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
51,Date:,04-07-2017,4º stage Distance:,203 km,Road – Stage,          Departure:,"    Mondorf-les-Bains (Grevenmacher), Luxemburg ",              Arrival:,"Vittel (Lorraine), France",,,,Name:,Arnaud,Family name:,Démare,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Professional:,2012-,, , ,,,,,,,
52,Date:,05-07-2017,5º stage Distance:,160 km,Road – Stage,          Departure:,"    Vittel (Lorraine), France ",              Arrival:,"Planche des Belles Filles (Franche-Comte), France",,,,Name:,Fabio,Family name:,Aru,Nationality:,Italy ,Gender:, ,Age:,29  years,Date of birth:,03-07-1990,Place of birth:,"Villacidro (Sardegna), Italy ",Professional:,01-08-2012-,Websites:,http://fabioaru.it/,http://www.fabioarufanclub.it, , ,,,,,
53,Date:,06-07-2017,6º stage Distance:,216 km,Road – Stage,          Departure:,"    Vesoul (Franche-Comte), France ",              Arrival:,"Troyes (Champagne-Ardenne), France",,,,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
54,Date:,07-07-2017,7º stage Distance:,214 km,Road – Stage,          Departure:,"    Troyes (Champagne-Ardenne), France ",              Arrival:,"Nuits-Saint-Georges (Bourgogne), France",,,,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
55,Date:,08-07-2017,8º stage Distance:,187 km,Road – Stage,          Departure:,"    Dole (Franche-Comte), France ",              Arrival:,"Rousses (Languedoc-Roussillon), France",,,,Name:,Lilian,Family name:,Calmejane,Nationality:,France ,Gender:, ,Age:,26  years,Date of birth:,06-12-1992,Place of birth:,"Albi (Midi-Pyrenees), France ",Professional:,2016-,, , ,,,,,,,
56,Date:,09-07-2017,9º stage Distance:,181 km,Road – Stage,          Departure:,"    Nantua (Rhone-Alpes), France ",              Arrival:,"Chambéry (Rhone-Alpes), France",,,,Name:,Rigoberto,Family name:,Urán Urán,Nationality:,Colombia ,Gender:, ,Age:,32  years,Date of birth:,26-01-1987,Place of birth:,"Urrao (Antioquia), Colombia ",Professional:,2006-,, , ,,,,,,,
57,Date:,11-07-2017,10º stage Distance:,178 km,Road – Stage,          Departure:,"    Périgueux (Aquitaine), France ",              Arrival:,"Bergerac (Aquitaine), France",,,,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
58,Date:,12-07-2017,11º stage Distance:,202 km,Road – Stage,          Departure:,"    Eymet (Aquitaine), France ",              Arrival:,"Pau (Aquitaine), France",,,,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
59,Date:,13-07-2017,12º stage Distance:,214 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Peyragudes (Midi-Pyrenees), France",,,,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
60,Date:,14-07-2017,13º stage Distance:,100 km,Road – Stage,          Departure:,"    Saint-Girons (Midi-Pyrenees), France ",              Arrival:,"Foix (Midi-Pyrenees), France",,,,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Professional:,2013-,, , ,,,,,,,
61,Date:,15-07-2017,14º stage Distance:,181 km,Road – Stage,          Departure:,"    Blagnac (Midi-Pyrenees), France ",              Arrival:,"Rodez (Midi-Pyrenees), France",,,,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
62,Date:,16-07-2017,15º stage Distance:,189 km,Road – Stage,          Departure:,"    Laissac (Midi-Pyrenees), France ",              Arrival:,"Le Puy-en Velay (Auvergne), France",,,,Name:,Bauke,Family name:,Mollema,Nationality:,The Netherlands ,Gender:, ,Age:,32  years,Date of birth:,26-11-1986,Place of birth:,"Groningen (Groningen), The Netherlands ",Professional:,2007-,, , ,,,,,,,
63,Date:,18-07-2017,16º stage Distance:,165 km,Road – Stage,          Departure:,"    Le Puy-en Velay (Auvergne), France ",              Arrival:,"Romans-sur-Isère (Rhone-Alpes), France",,,,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
64,Date:,19-07-2017,17º stage Distance:,183 km,Road – Stage,          Departure:,"    La Mure (Rhone-Alpes), France ",              Arrival:,"Serre Chevalier (Provence-Alpes-Cote d'Azur), France",,,,Name:,Primož,Family name:,Roglič,Nationality:,Slovenia ,Gender:, ,Age:,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Professional:,2013-,, , ,,,,,,,
65,Date:,20-07-2017,18º stage Distance:,178 km,Road – Stage,          Departure:,"    Briançon (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Briançon (Provence-Alpes-Cote d'Azur), France",,,,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Professional:,2013-,, , ,,,,,,,
66,Date:,21-07-2017,19º stage Distance:,220 km,Road – Stage,          Departure:,"    Embrun (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Salon-de-Provence (Provence-Alpes-Cote d'Azur), France",,,,Name:,Edvald,Family name:,Boasson Hagen,Nationality:,Norway ,Gender:, ,Age:,32  years,Date of birth:,17-05-1987,Place of birth:,"Lillehammer (Oppland), Norway ",Professional:,2006-,, , ,,,,,,,
67,Date:,22-07-2017,20º stage Distance:,23 km,Road – Individual Time Trial,          Departure:,"    Marseilles (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Marseilles (Provence-Alpes-Cote d'Azur), France",,,,Name:,Maciej,Family name:,Bodnar,Nationality:,Poland ,Gender:, ,Age:,34  years,Date of birth:,07-03-1985,Place of birth:,"Oława (Dolnośląskie), Poland ",Professional:,2005-,, , ,,,,,,,
68,Date:,23-07-2017,21º stage Distance:,105 km,Road – Stage,          Departure:,"    Montgeron (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
69,Date:,23-07-2017, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
