0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
,Name:,Matteo,Family name:,Trentin,Nationality:,Italy ,Gender:, ,Age:,30  years,Date of birth:,02-08-1989,Place of birth:,"Borgo Valsugana (Trentino-Alto Adige), Italy ",Professional:,2012-,, , ,,,,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Professional:,2009-,, , ,,,,,,,
,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,Date of birth:,13-01-1997,Place of birth:, ,Professional:,2016-,, , ,,,,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,Date of birth:,14-11-1984,Place of birth:,"Messina (Sicilia), Italy ",Professional:,2005-,, , ,,,,,,,
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,Date of birth:,13-01-1997,Place of birth:, ,Professional:,2016-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Fernando,Family name:,Gaviria Rendon,Nationality:,Colombia ,Gender:, ,Age:,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Professional:,2013-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Patrick,Family name:,Bevin,Nationality:,New Zealand ,Gender:, ,Age:,28  years,Date of birth:,15-02-1991,Place of birth:,"Taupo (Auckland), New Zealand ",Professional:,2010-,, , ,,,,,,,
,Name:,Fernando,Family name:,Gaviria Rendon,Nationality:,Colombia ,Gender:, ,Age:,25  years,Date of birth:,19-08-1994,Place of birth:,"La Ceja (Antioquia), Colombia ",Professional:,2013-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Dan,Family name:,Martin,Nationality:,Ireland ,,   GBR from 20-08-1986 until 31-12-2005,Gender:, ,Age:,33  years,Date of birth:,20-08-1986,Place of birth:,"Birmingham (Birmingham), Great Britain ",Professional:,2008-,, , ,,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,John,Family name:,Degenkolb,Nationality:,Germany ,Gender:, ,Age:,30  years,Date of birth:,07-01-1989,Place of birth:,"Gera (Thuringen), Germany ",Professional:,2008-,Websites:,http://www.johndegenkolb.de/, , ,,,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Omar,Family name:,Fraile Matarranz,Nationality:,Spain ,Gender:, ,Age:,29  years,Date of birth:,17-07-1990,Place of birth:,"Santurce (Pais Vasco), Spain ",Professional:,2012-,Websites:,http://www.omarfraile.com, , ,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Professional:,2009-,, , ,,,,,,,
,Name:,Arnaud,Family name:,Démare,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Primož,Family name:,Roglič,Nationality:,Slovenia ,Gender:, ,Age:,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Professional:,2013-,, , ,,,,,,,
,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,Date of birth:,11-11-1990,Place of birth:,"Maastricht (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Alexander,Family name:,Kristoff,Nationality:,Norway ,Gender:, ,Age:,32  years,Date of birth:,05-07-1987,Place of birth:,"Oslo (Oslo), Norway ",Professional:,2006-,, , ,,,,,,,
,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
,Name:,Geraint,Family name:,Thomas,Nationality:,Great Britain ,Gender:, ,Age:,33  years,Date of birth:,25-05-1986,Place of birth:,"Cardiff (Cardiff), Great Britain ",Professional:,2007-,Websites:,http://www.geraintthomas.com/, , ,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Arnaud,Family name:,Démare,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,26-08-1991,Place of birth:,"Beauvais (Picardie), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Fabio,Family name:,Aru,Nationality:,Italy ,Gender:, ,Age:,29  years,Date of birth:,03-07-1990,Place of birth:,"Villacidro (Sardegna), Italy ",Professional:,01-08-2012-,Websites:,http://fabioaru.it/,http://www.fabioarufanclub.it, , ,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Lilian,Family name:,Calmejane,Nationality:,France ,Gender:, ,Age:,26  years,Date of birth:,06-12-1992,Place of birth:,"Albi (Midi-Pyrenees), France ",Professional:,2016-,, , ,,,,,,,
,Name:,Rigoberto,Family name:,Urán Urán,Nationality:,Colombia ,Gender:, ,Age:,32  years,Date of birth:,26-01-1987,Place of birth:,"Urrao (Antioquia), Colombia ",Professional:,2006-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Professional:,2013-,, , ,,,,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
,Name:,Bauke,Family name:,Mollema,Nationality:,The Netherlands ,Gender:, ,Age:,32  years,Date of birth:,26-11-1986,Place of birth:,"Groningen (Groningen), The Netherlands ",Professional:,2007-,, , ,,,,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
,Name:,Primož,Family name:,Roglič,Nationality:,Slovenia ,Gender:, ,Age:,29  years,Date of birth:,29-10-1989,Place of birth:,"Kisovec (Zagorje ob Savi), Slovenia ",Professional:,2013-,, , ,,,,,,,
,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Professional:,2013-,, , ,,,,,,,
,Name:,Edvald,Family name:,Boasson Hagen,Nationality:,Norway ,Gender:, ,Age:,32  years,Date of birth:,17-05-1987,Place of birth:,"Lillehammer (Oppland), Norway ",Professional:,2006-,, , ,,,,,,,
,Name:,Maciej,Family name:,Bodnar,Nationality:,Poland ,Gender:, ,Age:,34  years,Date of birth:,07-03-1985,Place of birth:,"Oława (Dolnośląskie), Poland ",Professional:,2005-,, , ,,,,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,28-10-1991,Place of birth:,"Hennebont (Bretagne), France ",Professional:,2013-,, , ,,,,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Greg,Family name:,Van Avermaet,Nationality:,Belgium ,Gender:, ,Age:,34  years,Date of birth:,17-05-1985,Place of birth:,"Lokeren (Oost-Vlaanderen), Belgium ",Professional:,2006-,Websites:,http://www.gregvanavermaet.be/, , ,,,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Stephen,Family name:,Cummings,Nationality:,Great Britain ,Gender:, ,Age:,38  years,Date of birth:,19-03-1981,Place of birth:,"Wirral , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,Date of birth:,11-11-1990,Place of birth:,"Maastricht (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,Date of birth:,26-09-1990,Place of birth:,"Canberra (Australian Capital Territory), Australia ",Professional:,2009-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Thomas,Family name:,De Gendt,Nationality:,Belgium ,Gender:, ,Age:,32  years,Date of birth:,06-11-1986,Place of birth:,"Sint-Niklaas (Oost-Vlaanderen), Belgium ",Professional:,2006-,, , ,,,,,,,
,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,Date of birth:,11-11-1990,Place of birth:,"Maastricht (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Jarlinson,Family name:,Pantano Gómez,Nationality:,Colombia ,Gender:, ,Age:,30  years,Date of birth:,19-11-1988,Place of birth:,"Cali (Valle del Cauca), Colombia ",Professional:,2007-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Ilnur,Family name:,Zakarin,Nationality:,Russia ,Gender:, ,Age:,29  years,Date of birth:,15-09-1989,Place of birth:,"Naberezhnyy (Chechnya), Russia ",Professional:,2012-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Jon,Family name:,Izaguirre Insausti,Nationality:,Spain ,Gender:, ,Age:,30  years,Date of birth:,04-02-1989,Place of birth:,"Ormáiztegui (Pais Vasco), Spain ",Professional:,2010-,, , ,,,,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,Date of birth:,16-07-1982,Place of birth:,"Rostock (Mecklenburg-Vorpommern), Germany ",Professional:,2005-,Websites:,http://www.andregreipel.de/ , , ,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,Date of birth:,12-09-1989,Place of birth:,"Zegartowice (Małopolskie), Poland ",Professional:,2011-,, , ,,,,,,,
,Name:,Adam,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Professional:,2014-,, , ,,,,,,,
,Name:,Rohan,Family name:,Dennis,Nationality:,Australia ,Gender:, ,Age:,29  years,Date of birth:,28-05-1990,Place of birth:,"Ashford (New South Wales), Australia ",Professional:,2009-,, , ,,,,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,Date of birth:,16-07-1982,Place of birth:,"Rostock (Mecklenburg-Vorpommern), Germany ",Professional:,2005-,Websites:,http://www.andregreipel.de/ , , ,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,Date of birth:,23-04-1985,Place of birth:,"Cottbus (Brandenburg), Germany ",Professional:,2006-,, , ,,,,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,Date of birth:,16-07-1982,Place of birth:,"Rostock (Mecklenburg-Vorpommern), Germany ",Professional:,2005-,Websites:,http://www.andregreipel.de/ , , ,,,,,,
,Name:,Zdeněk,Family name:,Štybar,Nationality:,Czech Republic ,Gender:, ,Age:,33  years,Date of birth:,11-12-1985,Place of birth:,"Plana U Marianskych Lazni (Plzensky Kraj), Czech Republic ",Professional:,2005-,Websites:,http://www.zdenekstybar.com/, , ,,,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,Date of birth:,21-05-1985,Place of birth:,"Isle of Man , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,Alexis,Family name:,Vuillermoz,Nationality:,France ,Gender:, ,Age:,31  years,Date of birth:,01-06-1988,Place of birth:,"Saint-Claude (Franche-Comte), France ",Professional:,2013-,, , ,,,,,,,
,Name:,Tejay,Family name:,Van Garderen,Nationality:,United States of America ,Gender:, ,Age:,31  years,Date of birth:,12-08-1988,Place of birth:,"Tacoma (Washington), United States of America ",Professional:,2008-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,Date of birth:,12-09-1989,Place of birth:,"Zegartowice (Małopolskie), Poland ",Professional:,2011-,, , ,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name:,Greg,Family name:,Van Avermaet,Nationality:,Belgium ,Gender:, ,Age:,34  years,Date of birth:,17-05-1985,Place of birth:,"Lokeren (Oost-Vlaanderen), Belgium ",Professional:,2006-,Websites:,http://www.gregvanavermaet.be/, , ,,,,,,
,Name:,Stephen,Family name:,Cummings,Nationality:,Great Britain ,Gender:, ,Age:,38  years,Date of birth:,19-03-1981,Place of birth:,"Wirral , Great Britain ",Professional:,2005-,, , ,,,,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,Date of birth:,16-07-1982,Place of birth:,"Rostock (Mecklenburg-Vorpommern), Germany ",Professional:,2005-,Websites:,http://www.andregreipel.de/ , , ,,,,,,
,Name:,Rubén,Family name:,Plaza Molina,Nationality:,Spain ,Gender:, ,Age:,39  years,Date of birth:,29-02-1980,Place of birth:,"Ibi (Comunidad Valenciana), Spain ",Professional:,2001-,, , ,,,,,,,
,Name:,Simon,Family name:,Geschke,Nationality:,Germany ,Gender:, ,Age:,33  years,Date of birth:,13-03-1986,Place of birth:,"Berlin (Berlin), Germany ",Professional:,2009-,, , ,,,,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,Date of birth:,09-11-1990,Place of birth:,"Brioude (Auvergne), France ",Professional:,2012-,, , ,,,,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,Date of birth:,14-11-1984,Place of birth:,"Messina (Sicilia), Italy ",Professional:,2005-,, , ,,,,,,,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,Date of birth:,29-05-1990,Place of birth:,"Mélisey (Franche-Comte), France ",Professional:,2010-,, , ,,,,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,Date of birth:,16-07-1982,Place of birth:,"Rostock (Mecklenburg-Vorpommern), Germany ",Professional:,2005-,Websites:,http://www.andregreipel.de/ , , ,,,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,Date of birth:,04-02-1990,Place of birth:,"Cómbita (Boyaca), Colombia ",Professional:,2009-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,Date of birth:,20-05-1985,Place of birth:,"Nairobi (Nairobi Area), Kenya ",Professional:,2007-,, , ,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,Date of birth:,14-11-1984,Place of birth:,"Messina (Sicilia), Italy ",Professional:,2005-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,Date of birth:,11-05-1988,Place of birth:,"Arnstadt (Thuringen), Germany ",Professional:,2007-,, , ,,,,,,,
