0,1,2,3,4,5,6,7,8,9,10,11,12
,Date:,14-07-2018,8º stage Distance:,181 km,Road – Stage,          Departure:,"    Dreux (Centre), France ",              Arrival:,"Amiens (Picardie), France",,,
,Date:,15-07-2018,9º stage Distance:,154 km,Road – Stage,          Departure:,"    Arras (Nord-Pas-de-Calais), France ",              Arrival:,"Roubaix (Nord-Pas-de-Calais), France",,,
,Date:,17-07-2018,10º stage Distance:,159 km,Road – Stage,          Departure:,"    Annecy (Rhone-Alpes), France ",              Arrival:,"Le Grand Bornand (Rhone-Alpes), France",,,
,Date:,18-07-2018,11º stage Distance:,108 km,Road – Stage,          Departure:,"    Albertville (Rhone-Alpes), France ",              Arrival:,"La Rosière (Rhone-Alpes), France",,,
,Date:,19-07-2018,12º stage Distance:,175 km,Road – Stage,          Departure:,"    Bourg-Saint-Maurice (Rhone-Alpes), France ",              Arrival:,"Alpe d'Huez (Rhone-Alpes), France",,,
,Date:,20-07-2018,13º stage Distance:,169 km,Road – Stage,          Departure:,"    Bourg d'Oisans (Rhone-Alpes), France ",              Arrival:,"Valence (Rhone-Alpes), France",,,
,Date:,21-07-2018,14º stage Distance:,187 km,Road – Stage,          Departure:,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ",              Arrival:,"Mende (Languedoc-Roussillon), France",,,
,Date:,22-07-2018,15º stage Distance:,181 km,Road – Stage,          Departure:,"    Millau (Midi-Pyrenees), France ",              Arrival:,"Carcassonne (Languedoc-Roussillon), France",,,
,Date:,24-07-2018,16º stage Distance:,218 km,Road – Stage,          Departure:,"    Carcassonne (Languedoc-Roussillon), France ",              Arrival:,"Bagnères-de-Luchon (Midi-Pyrenees), France",,,
,Date:,25-07-2018,17º stage Distance:,65 km,Road – Stage,          Departure:,"    Bagnères-de-Luchon (Midi-Pyrenees), France ",              Arrival:,"Saint-Lary-Soulan (Midi-Pyrenees), France",,,
,Date:,26-07-2018,18º stage Distance:,172 km,Road – Stage,          Departure:,"    Trie-sur-Baïse (Midi-Pyrenees), France ",              Arrival:,"Pau (Aquitaine), France",,,
,Date:,27-07-2018,19º stage Distance:,200 km,Road – Stage,          Departure:,"    Lourdes (Midi-Pyrenees), France ",              Arrival:,"Laruns (Aquitaine), France",,,
,Date:,28-07-2018,20º stage Distance:,31 km,Road – Individual Time Trial,          Departure:,"    Saint-Pée-sur-Nivelle (Aquitaine), France ",              Arrival:,"Espelette (Aquitaine), France",,,
,Date:,29-07-2018,21º stage Distance:,115 km,Road – Stage,          Departure:,"    Houilles (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,29-07-2018, Distance:,3369 km,Classification – Road – General Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,29-07-2018, Distance:, km,Classification – Road – Points Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,29-07-2018, Distance:, km,Classification – Road – Mountains Classification,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,01-07-2017,1º stage Distance:,13 km,Road – Individual Time Trial,          Departure:,"    Düsseldorf (Nordrhein-Westfalen), Germany ",              Arrival:,"Düsseldorf (Nordrhein-Westfalen), Germany",,,
,Date:,02-07-2017,2º stage Distance:,202 km,Road – Stage,          Departure:,"    Düsseldorf (Nordrhein-Westfalen), Germany ",              Arrival:,"Liège (Liege), Belgium",,,
,Date:,03-07-2017,3º stage Distance:,202 km,Road – Stage,          Departure:,"    Verviers (Liege), Belgium ",              Arrival:,"Longwy (Lorraine), France",,,
,Date:,04-07-2017,4º stage Distance:,203 km,Road – Stage,          Departure:,"    Mondorf-les-Bains (Grevenmacher), Luxemburg ",              Arrival:,"Vittel (Lorraine), France",,,
,Date:,05-07-2017,5º stage Distance:,160 km,Road – Stage,          Departure:,"    Vittel (Lorraine), France ",              Arrival:,"Planche des Belles Filles (Franche-Comte), France",,,
,Date:,06-07-2017,6º stage Distance:,216 km,Road – Stage,          Departure:,"    Vesoul (Franche-Comte), France ",              Arrival:,"Troyes (Champagne-Ardenne), France",,,
,Date:,07-07-2017,7º stage Distance:,214 km,Road – Stage,          Departure:,"    Troyes (Champagne-Ardenne), France ",              Arrival:,"Nuits-Saint-Georges (Bourgogne), France",,,
,Date:,08-07-2017,8º stage Distance:,187 km,Road – Stage,          Departure:,"    Dole (Franche-Comte), France ",              Arrival:,"Rousses (Languedoc-Roussillon), France",,,
,Date:,09-07-2017,9º stage Distance:,181 km,Road – Stage,          Departure:,"    Nantua (Rhone-Alpes), France ",              Arrival:,"Chambéry (Rhone-Alpes), France",,,
,Date:,11-07-2017,10º stage Distance:,178 km,Road – Stage,          Departure:,"    Périgueux (Aquitaine), France ",              Arrival:,"Bergerac (Aquitaine), France",,,
,Date:,12-07-2017,11º stage Distance:,202 km,Road – Stage,          Departure:,"    Eymet (Aquitaine), France ",              Arrival:,"Pau (Aquitaine), France",,,
,Date:,13-07-2017,12º stage Distance:,214 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Peyragudes (Midi-Pyrenees), France",,,
,Date:,14-07-2017,13º stage Distance:,100 km,Road – Stage,          Departure:,"    Saint-Girons (Midi-Pyrenees), France ",              Arrival:,"Foix (Midi-Pyrenees), France",,,
,Date:,15-07-2017,14º stage Distance:,181 km,Road – Stage,          Departure:,"    Blagnac (Midi-Pyrenees), France ",              Arrival:,"Rodez (Midi-Pyrenees), France",,,
,Date:,16-07-2017,15º stage Distance:,189 km,Road – Stage,          Departure:,"    Laissac (Midi-Pyrenees), France ",              Arrival:,"Le Puy-en Velay (Auvergne), France",,,
,Date:,18-07-2017,16º stage Distance:,165 km,Road – Stage,          Departure:,"    Le Puy-en Velay (Auvergne), France ",              Arrival:,"Romans-sur-Isère (Rhone-Alpes), France",,,
,Date:,19-07-2017,17º stage Distance:,183 km,Road – Stage,          Departure:,"    La Mure (Rhone-Alpes), France ",              Arrival:,"Serre Chevalier (Provence-Alpes-Cote d'Azur), France",,,
,Date:,20-07-2017,18º stage Distance:,178 km,Road – Stage,          Departure:,"    Briançon (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Briançon (Provence-Alpes-Cote d'Azur), France",,,
,Date:,21-07-2017,19º stage Distance:,220 km,Road – Stage,          Departure:,"    Embrun (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Salon-de-Provence (Provence-Alpes-Cote d'Azur), France",,,
,Date:,22-07-2017,20º stage Distance:,23 km,Road – Individual Time Trial,          Departure:,"    Marseilles (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Marseilles (Provence-Alpes-Cote d'Azur), France",,,
,Date:,23-07-2017,21º stage Distance:,105 km,Road – Stage,          Departure:,"    Montgeron (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,23-07-2017, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,23-07-2017, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,23-07-2017, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,02-07-2016,1º stage Distance:,188 km,Road – Stage,          Departure:,"    Le Mont-Saint-Michel (Basse-Normandie), France ",              Arrival:,"Pouppeville (Basse-Normandie), France",,,
,Date:,03-07-2016,2º stage Distance:,182 km,Road – Stage,          Departure:,"    Saint-Lô (Basse-Normandie), France ",              Arrival:,"Cherbourg (Basse-Normandie), France",,,
,Date:,04-07-2016,3º stage Distance:,222 km,Road – Stage,          Departure:,"    Granville (Basse-Normandie), France ",              Arrival:,"Angers (Pays de la Loire), France",,,
,Date:,05-07-2016,4º stage Distance:,232 km,Road – Stage,          Departure:,"    Saumur (Pays de la Loire), France ",              Arrival:,"Limoges (Limousin), France",,,
,Date:,06-07-2016,5º stage Distance:,216 km,Road – Stage,          Departure:,"    Limoges (Limousin), France ",              Arrival:,"Laveissière (Auvergne), France",,,
,Date:,07-07-2016,6º stage Distance:,187 km,Road – Stage,          Departure:,"    Arpajon-sur-Cère (Auvergne), France ",              Arrival:,"Montauban (Midi-Pyrenees), France",,,
,Date:,08-07-2016,7º stage Distance:,172 km,Road – Stage,          Departure:,"    L'Isle-Jourdain (Midi-Pyrenees), France ",              Arrival:,"Payolle (Midi-Pyrenees), France",,,
,Date:,09-07-2016,8º stage Distance:,183 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Bagnères-de-Luchon (Midi-Pyrenees), France",,,
,Date:,10-07-2016,9º stage Distance:,184 km,Road – Stage,          Departure:,"    Vielha (Cataluña), Spain ",              Arrival:,"Andorra (Andorra la Vella), Andorra",,,
,Date:,12-07-2016,10º stage Distance:,198 km,Road – Stage,          Departure:,"    Andorra (Andorra la Vella), Andorra ",              Arrival:,"Revel (Midi-Pyrenees), France",,,
,Date:,13-07-2016,11º stage Distance:,164 km,Road – Stage,          Departure:,"    Carcassonne (Languedoc-Roussillon), France ",              Arrival:,"Montpellier (Poitou-Charentes), France",,,
,Date:,14-07-2016,12º stage Distance:,185 km,Road – Stage,          Departure:,"    Montpellier (Languedoc-Roussillon), France ",              Arrival:,"Mont Ventoux (Provence-Alpes-Cote d'Azur), France",,,
,Date:,15-07-2016,13º stage Distance:,37 km,Road – Individual Time Trial,          Departure:,"    Bourg-Saint-Andéol (Rhone-Alpes), France ",              Arrival:,"Caverne du Pont d'Arc (Rhone-Alpes), France",,,
,Date:,16-07-2016,14º stage Distance:,208 km,Road – Stage,          Departure:,"    Montélimar (Rhone-Alpes), France ",              Arrival:,"Villars-les-Dombes (Rhone-Alpes), France",,,
,Date:,17-07-2016,15º stage Distance:,159 km,Road – Stage,          Departure:,"    Bourg-en-Bresse (Rhone-Alpes), France ",              Arrival:,"Culoz (Rhone-Alpes), France",,,
,Date:,18-07-2016,16º stage Distance:,206 km,Road – Stage,          Departure:,"    Moirans-en-Montagne (Franche-Comte), France ",              Arrival:,"Bern (Bern), Switzerland",,,
,Date:,20-07-2016,17º stage Distance:,184 km,Road – Stage,          Departure:,"    Bern (Bern), Switzerland ",              Arrival:,"Finhaut (Valais), Switzerland",,,
,Date:,21-07-2016,18º stage Distance:,17 km,Road – Climb Time Trial,          Departure:,"    Sallanches (Rhone-Alpes), France ",              Arrival:,"Megève (Rhone-Alpes), France",,,
,Date:,22-07-2016,19º stage Distance:,146 km,Road – Stage,          Departure:,"    Albertville (Rhone-Alpes), France ",              Arrival:,"Saint-Gervais-les-Bains (Rhone-Alpes), France",,,
,Date:,23-07-2016,20º stage Distance:,146 km,Road – Stage,          Departure:,"    Megève (Rhone-Alpes), France ",              Arrival:,"Morzine (Rhone-Alpes), France",,,
,Date:,24-07-2016,21º stage Distance:,113 km,Road – Stage,          Departure:,"    Chantilly (Picardie), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,24-07-2016, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,24-07-2016, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,24-07-2016, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,24-07-2016, Distance:, km,Classification – Road – Young Rider Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,04-07-2015,1º stage Distance:,13.8 km,Road – Individual Time Trial,          Departure:,"    Utrecht (Utrecht), The Netherlands ",              Arrival:,"Utrecht (Utrecht), The Netherlands",,,
,Date:,05-07-2015,2º stage Distance:,166 km,Road – Stage,          Departure:,"    Utrecht (Utrecht), The Netherlands ",              Arrival:,"Neeltje Jans (Zeeland), The Netherlands",,,
,Date:,06-07-2015,3º stage Distance:,159.5 km,Road – Stage,          Departure:,"    Antwerpen (Antwerpen), Belgium ",              Arrival:,"Huy (Liege), Belgium",,,
,Date:,07-07-2015,4º stage Distance:,223.5 km,Road – Stage,          Departure:,"    Seraing (Liege), Belgium ",              Arrival:,"Cambrai (Nord-Pas-de-Calais), France",,,
,Date:,08-07-2015,5º stage Distance:,189.5 km,Road – Stage,          Departure:,"    Arras (Nord-Pas-de-Calais), France ",              Arrival:,"Amiens (Picardie), France",,,
,Date:,09-07-2015,6º stage Distance:,191.5 km,Road – Stage,          Departure:,"    Abbeville (Picardie), France ",              Arrival:,"Le Havre (Haute-Normandie), France",,,
,Date:,10-07-2015,7º stage Distance:,190.5 km,Road – Stage,          Departure:,"    Livarot (Basse-Normandie), France ",              Arrival:,"Fougères (Bretagne), France",,,
,Date:,11-07-2015,8º stage Distance:,181.5 km,Road – Stage,          Departure:,"    Rennes (Bretagne), France ",              Arrival:,"Mur-de-Bretagne (Bretagne), France",,,
,Date:,12-07-2015,9º stage Distance:,28 km,Road – Team Time Trial,          Departure:,"    Vannes (Bretagne), France ",              Arrival:,"Plumelec (Bretagne), France",,,
,Date:,14-07-2015,10º stage Distance:,167 km,Road – Stage,          Departure:,"    Tarbes (Midi-Pyrenees), France ",              Arrival:,"Col de la Pierre Saint-Martin (Midi-Pyrenees), France",,,
,Date:,15-07-2015,11º stage Distance:,188 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Cauterets (Midi-Pyrenees), France",,,
,Date:,16-07-2015,12º stage Distance:,195 km,Road – Stage,          Departure:,"    Lannemezan (Midi-Pyrenees), France ",              Arrival:,"Plateau de Beille (Midi-Pyrenees), France",,,
,Date:,17-07-2015,13º stage Distance:,198.5 km,Road – Stage,          Departure:,"    Muret (Midi-Pyrenees), France ",              Arrival:,"Rodez (Midi-Pyrenees), France",,,
,Date:,18-07-2015,14º stage Distance:,178.5 km,Road – Stage,          Departure:,"    Rodez (Midi-Pyrenees), France ",              Arrival:,"Mende (Languedoc-Roussillon), France",,,
,Date:,19-07-2015,15º stage Distance:,183 km,Road – Stage,          Departure:,"    Mende (Languedoc-Roussillon), France ",              Arrival:,"Valence (Languedoc-Roussillon), France",,,
,Date:,20-07-2015,16º stage Distance:,201 km,Road – Stage,          Departure:,"    Bourg-de-Péage (Rhone-Alpes), France ",              Arrival:,"Gap (Provence-Alpes-Cote d'Azur), France",,,
,Date:,22-07-2015,17º stage Distance:,161 km,Road – Stage,          Departure:,"    Digne (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Pra-Loup (Provence-Alpes-Cote d'Azur), France",,,
,Date:,23-07-2015,18º stage Distance:,186.5 km,Road – Stage,          Departure:,"    Gap (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Saint-Jean-de-Maurienne (Rhone-Alpes), France",,,
,Date:,24-07-2015,19º stage Distance:,138 km,Road – Stage,          Departure:,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ",              Arrival:,"La Toussuire (Rhone-Alpes), France",,,
,Date:,25-07-2015,20º stage Distance:,110.5 km,Road – Stage,          Departure:,"    Modane (Rhone-Alpes), France ",              Arrival:,"L'Alpe-d'Huez (Rhone-Alpes), France",,,
,Date:,26-07-2015,21º stage Distance:,109.5 km,Road – Stage,          Departure:,"    Sèvres (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,26-07-2015, Distance:, km,Classification – Road – Young Rider Classification,          Departure:,,              Arrival:,,Category UCI:,WE,
,Date:,26-07-2015, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,26-07-2015, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,26-07-2015, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,05-07-2014,1º stage Distance:,"190,5 km",Road – Stage,          Departure:,"    Leeds (Leeds), Great Britain ",              Arrival:,"Harrogate (North Yorkshire), Great Britain",,,
,Date:,06-07-2014,2º stage Distance:,201 km,Road – Stage,          Departure:,"    York (York), Great Britain ",              Arrival:,"Sheffield (Sheffield), Great Britain",,,
,Date:,07-07-2014,3º stage Distance:,155 km,Road – Stage,          Departure:,"    Cambridge (Cambridgeshire), Great Britain ",              Arrival:,"London (Greater London), Great Britain",,,
,Date:,08-07-2014,4º stage Distance:,"163,5 km",Road – Stage,          Departure:,"    Le Touquet-Paris-Plage (Nord-Pas-de-Calais), France ",              Arrival:,"Villeneuve d'Ascq (Nord-Pas-de-Calais), France",,,
,Date:,09-07-2014,5º stage Distance:,156 km,Road – Stage,          Departure:,"    Ieper (West-Vlaanderen), Belgium ",              Arrival:,"Arenberg (Nord-Pas-de-Calais), France",,,
,Date:,10-07-2014,6º stage Distance:,194 km,Road – Stage,          Departure:,"    Arras (Nord-Pas-de-Calais), France ",              Arrival:,"Reims (Champagne-Ardenne), France",,,
,Date:,11-07-2014,7º stage Distance:,"234,5 km",Road – Stage,          Departure:,"    Épernay (Champagne-Ardenne), France ",              Arrival:,"Nancy (Lorraine), France",,,
,Date:,12-07-2014,8º stage Distance:,161 km,Road – Stage,          Departure:,"    Tomblaine (Lorraine), France ",              Arrival:,"La Mauselaine (Lorraine), France",,,
,Date:,13-07-2014,9º stage Distance:,170 km,Road – Stage,          Departure:,"    Gérardmer (Lorraine), France ",              Arrival:,"Mulhouse (Alsace), France",,,
,Date:,14-07-2014,10º stage Distance:,"161,5 km",Road – Stage,          Departure:,"    Mulhouse (Alsace), France ",              Arrival:,"Planche des Belles Filles (Franche-Comte), France",,,
,Date:,16-07-2014,11º stage Distance:,"187,5 km",Road – Stage,          Departure:,"    Besançon (Franche-Comte), France ",              Arrival:,"Oyonnax (Rhone-Alpes), France",,,
,Date:,17-07-2014,12º stage Distance:,"185,5 km",Road – Stage,          Departure:,"    Bourg-en-Bresse (Rhone-Alpes), France ",              Arrival:,"Saint-Étienne (Rhone-Alpes), France",,,
,Date:,18-07-2014,13º stage Distance:,"197,5 km",Road – Stage,          Departure:,"    Saint-Étienne (Rhone-Alpes), France ",              Arrival:,"Chamrousse (Rhone-Alpes), France",,,
,Date:,19-07-2014,14º stage Distance:,177 km,Road – Stage,          Departure:,"    Grenoble (Rhone-Alpes), France ",              Arrival:,"Risoul (Provence-Alpes-Cote d'Azur), France",,,
,Date:,20-07-2014,15º stage Distance:,222 km,Road – Stage,          Departure:,"    Tallard (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Nîmes (Languedoc-Roussillon), France",,,
,Date:,22-07-2014,16º stage Distance:,"237,5 km",Road – Stage,          Departure:,"    Carcassonne (Languedoc-Roussillon), France ",              Arrival:,"Bagnères-de-Luchon (Midi-Pyrenees), France",,,
,Date:,23-07-2014,17º stage Distance:,"124,5 km",Road – Stage,          Departure:,"    Saint-Gaudens (Midi-Pyrenees), France ",              Arrival:,"Pla d'Adet (Midi-Pyrenees), France",,,
,Date:,24-07-2014,18º stage Distance:,"145,5 km",Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Hautacam  (Midi-Pyrenees), France",,,
,Date:,25-07-2014,19º stage Distance:,"208,5 km",Road – Stage,          Departure:,"    Maubourguet (Midi-Pyrenees), France ",              Arrival:,"Bergerac (Aquitaine), France",,,
,Date:,26-07-2014,20º stage Distance:,54 km,Road – Individual Time Trial,          Departure:,"    Bergerac (Aquitaine), France ",              Arrival:,"Périgueux (Aquitaine), France",,,
,Date:,27-07-2014,21º stage Distance:,"137,5 km",Road – Stage,          Departure:,"    Évry (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,27-07-2014, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,27-07-2014, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,27-07-2014, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,27-07-2014, Distance:, km,Classification – Road – Young Rider Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/HC,
,Date:,29-06-2013,1º stage Distance:,213 km,Road – Stage,          Departure:,"    Porto-Vecchio (Corse), France ",              Arrival:,"Bastia (Corse), France",,,
,Date:,30-06-2013,2º stage Distance:,156 km,Road – Stage,          Departure:,"    Bastia (Corse), France ",              Arrival:,"Ajaccio (Corse), France",,,
,Date:,01-07-2013,3º stage Distance:,"145,5 km",Road – Stage,          Departure:,"    Ajaccio (Corse), France ",              Arrival:,"Calvi (Corse), France",,,
,Date:,02-07-2013,4º stage Distance:,25 km,Road – Team Time Trial,          Departure:,"    Nice (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Nice (Provence-Alpes-Cote d'Azur), France",,,
,Date:,03-07-2013,5º stage Distance:,"228,5 km",Road – Stage,          Departure:,"    Cagnes-sur-Mer (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Marseille (Provence-Alpes-Cote d'Azur), France",,,
,Date:,04-07-2013,6º stage Distance:,"176,5 km",Road – Stage,          Departure:,"    Aix-en-Provence (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Montpellier (Languedoc-Roussillon), France",,,
,Date:,05-07-2013,7º stage Distance:,"205,5 km",Road – Stage,          Departure:,"    Montpellier (Languedoc-Roussillon), France ",              Arrival:,"Albi (Midi-Pyrenees), France",,,
,Date:,06-07-2013,8º stage Distance:,195 km,Road – Stage,          Departure:,"    Castres (Midi-Pyrenees), France ",              Arrival:,"Ax 3 Domaines (Midi-Pyrenees), France",,,
,Date:,07-07-2013,9º stage Distance:,"168,5 km",Road – Stage,          Departure:,"    Saint-Girons (Midi-Pyrenees), France ",              Arrival:,"Bagnères-de-Bigorre (Midi-Pyrenees), France",,,
,Date:,09-07-2013,10º stage Distance:,197 km,Road – Stage,          Departure:,"    Saint-Gildas-des-Bois (Pays de la Loire), France ",              Arrival:,"Saint-Malo (Bretagne), France",,,
,Date:,10-07-2013,11º stage Distance:,33 km,Road – Individual Time Trial,          Departure:,"    Avranches (Basse-Normandie), France ",              Arrival:,"Le Mont-Saint-Michel (Basse-Normandie), France",,,
