,Full Name,Total Career Span,Count_Column,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span
10,Chris Froome,12,4,2017-07-23,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0
11,Eddy Merckx,13,5,1974-07-21,Total Distance,4098.0,General Classification,"    Brest (Bretagne), France ","Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0
12,Egan Arley Bernal Gómez,3,1,2019-07-28,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Egan Arley,Bernal Gómez,Colombia ,N,,1997-01-13,,,,,22  years,1997-01-13,,,,,,2016,0,0,0,0,0,0,0,0,0,0
13,Fausto Coppi,18,2,1952-07-19,Total Distance,4827.0,General Classification,"    Brest (Bretagne), France ","Paris (Ile-de-France), France",,Fausto,Coppi,Italy ,N,,1919-09-15,,,,,40 years,1919-09-15,Castellania (Piemonte), Italy ,02-01-1960,    Tortona (Piemonte), Italy,1938,1942,1945,1959,0,0,4,3,14,0,0
14,Federico Martín Bahamontes,12,1,1959-07-18,Total Distance,4367.0,General Classification,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France",,Federico,Martín Bahamontes,Spain ,N,,1928-09-07,,,,,91  years,1928-09-07,Val de Santo Domingo (Castilla-La Mancha), Spain ,,,,1953,1965,0,0,0,0,12,0,0,0,0
15,Felice Gimondi,14,1,1965-07-14,Total Distance,4177.0,General Classification,"    Köln (Nordrhein-Westfalen), Germany ","Paris (Ile-de-France), France",,Felice,Gimondi,Italy ,N,,1942-09-29,,,,,76 years,1942-09-29,Sedrina (Lombardia), Italy ,16-08-2019,    Giardini-Naxos (Sicilia), Italy,1965,1979,0,0,0,0,14,0,0,0,0
16,Ferdi Kübler,17,1,1950-07-08,Total Distance,4775.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Ferdi,Kübler,Switzerland ,N,,1919-07-24,,,,,97 years,1919-07-24,Marthalen (Schaffhausen), Switzerland ,29-12-2016,    Zürich (Zürich), Switzerland,1940,1957,0,0,0,0,17,0,0,0,0
17,Firmin Lambot,11,2,1922-07-23,Total Distance,5375.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Firmin,Lambot,Belgium ,N,,1886-03-14,,,,,77 years,1886-03-14,Florennes (Namur), Belgium ,19-01-1964,    Borgerhout (Antwerpen), Belgium,1908,1914,1919,1924,0,0,6,5,5,0,0
18,François Faber,8,1,1909-01-08,Total Distance,4497.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,François,Faber,Luxemburg ,N,,1887-01-26,,,,,28 years,1887-01-26,Aulnay-sur-Iton (Haute-Normandie), France ,09-05-1915,    Carency (Nord-Pas-de-Calais), France,1906,1914,0,0,0,0,8,0,0,0,0
19,Gastone Nencini,12,1,1960-07-17,Total Distance,4173.0,General Classification,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France",,Gastone,Nencini,Italy ,N,,1930-01-03,,,,,49 years,1930-01-03,Barberino di Mugello (Toscana), Italy ,01-02-1980,    Florence (Toscana), Italy,1953,1965,0,0,0,0,12,0,0,0,0
20,Georges Speicher,14,1,1933-07-23,Total Distance,0.0,General Classification,,"Paris (Ile-de-France), France",,Georges,Speicher,France ,N,,1907-08-06,,,,,70 years,1907-08-06,Paris (Ile-de-France), France ,24-01-1978,    Maisons-Laffitte (Ile-de-France), France,1930,1944,0,0,0,0,14,0,0,0,0
21,Geraint Thomas,12,1,2018-07-29,Total Distance,3369.0,General Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0
22,Gino Bartali,19,2,1948-07-25,Total Distance,4922.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Gino,Bartali,Italy ,N,,1914-07-18,,,,,85 years,1914-07-18,Ponte a Ema (Toscana), Italy ,05-05-2000,    Firenze (Toscana), Italy,1935,1954,0,0,0,0,19,0,0,0,0
23,Greg LeMond,13,3,1990-07-22,Total Distance,3449.0,General Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,1961-06-26,,,,,58  years,1961-06-26,Lakewood (California), United States of America ,,,,1981,1994,0,0,0,0,13,0,0,0,0
24,Gustave Garrigou,7,1,1911-07-30,Total Distance,5334.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Gustave,Garrigou,France ,N,,1884-09-24,,,,,78 years,1884-09-24,Vabre-Tizac (Midi-Pyrenees), France ,28-01-1963,    Esbly (Ile-de-France), France,1907,1914,0,0,0,0,7,0,0,0,0
25,Henri Cornet,8,1,1904-07-23,Total Distance,2429.0,General Classification,"    Montgeron (Ile-de-France), France ","Paris (Ile-de-France), France",,Henri,Cornet,France ,N,,1884-04-08,,,,,56 years,1884-04-08,Desvres (Nord-Pas-de-Calais), France ,18-03-1941,    Prunay-le-Gillon (Centre), France,1904,1912,0,0,0,0,8,0,0,0,0
26,Henri Pélissier,17,1,1923-07-22,Total Distance,5386.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Henri,Pélissier,France ,N,,1889-01-22,,,,,46 years,1889-01-22,Paris (Ile-de-France), France ,01-05-1935,    Dampierre-en-Yvelines (Ile-de-France), France,1911,1928,0,0,0,0,17,0,0,0,0
27,Hugo Koblet,12,1,1951-07-29,Total Distance,4692.0,General Classification,"    Metz (Lorraine), France ","Paris (Ile-de-France), France",,Hugo,Koblet,Switzerland ,N,,1925-03-21,,,,,39 years,1925-03-21,Zürich (Zürich), Switzerland ,06-11-1964,    Uster (Zürich), Switzerland,1946,1958,0,0,0,0,12,0,0,0,0
28,Jacques Anquetil,16,5,1964-07-14,Total Distance,4505.0,General Classification,,"Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0
29,Jan Janssen,12,1,1968-07-21,Total Distance,4684.0,General Classification,"    Vittel (Lorraine), France ","Paris (Ile-de-France), France",,Jan,Janssen,The Netherlands ,N,,1940-05-19,,,,,79  years,1940-05-19,Nootdorp (Zuid-Holland), The Netherlands ,,,,1961,1973,0,0,0,0,12,0,0,0,0
30,Jan Ullrich,11,1,1997-07-27,Total Distance,3944.0,General Classification,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France",,Jan,Ullrich,Germany ,N,,1973-02-12,,,,,45  years,1973-02-12,Rostock (Mecklenburg-Vorpommern), German Democratic Republik ,,,,1995,2006,0,0,0,0,11,0,0,0,0
31,Jean Robic,18,1,1947-07-20,Total Distance,4642.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Jean,Robic,France ,N,,1921-10-06,,,,,59 years,1921-10-06,Condé-lès-Vouziers (Champagne-Ardenne), France ,06-10-1980,    Claye-Souilly (Ile-de-France), France,1943,1961,0,0,0,0,18,0,0,0,0
32,Joop Zoetemelk,17,1,1980-07-20,Total Distance,3847.0,General Classification,"    Frankfurt am Main (Hessen), Germany ","Paris (Ile-de-France), France",,Joop,Zoetemelk,The Netherlands ,N,,1946-03-12,,,,,72  years,1946-03-12,Rijpwetering (Zuid-Holland), The Netherlands ,,,,1970,1987,0,0,0,0,17,0,0,0,0
33,Lance Armstrong,15,7,2005-07-24,Total Distance,0.0,General Classification,,,WT/WT/GT,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0
34,Laurent Fignon,11,2,1984-07-22,Total Distance,4021.0,General Classification,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France",,Laurent,Fignon,France ,N,,1960-12-08,,,,,50 years,1960-12-08,Paris (Ile-de-France), France ,31-08-2010,    Paris (Ile-de-France), France,1982,1993,0,0,0,0,11,0,0,0,0
35,Louis Trousselier,12,1,1905-07-30,Total Distance,2994.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Louis,Trousselier,France ,N,,1881-06-29,,,,,57 years,1881-06-29,Paris (Ile-de-France), France ,24-04-1939,    Paris (Ile-de-France), France,1902,1914,0,0,0,0,12,0,0,0,0
36,Louison Bobet,15,3,1955-07-30,Total Distance,4476.0,General Classification,"    Le Havre (Haute-Normandie), France ","Paris (Ile-de-France), France",,Louison,Bobet,France ,N,,1925-12-03,,,,,58 years,1925-12-03,Saint-Méen-le-Grand (Bretagne), France ,13-03-1983,    Biarritz (Aquitaine), France,1947,1962,0,0,0,0,15,0,0,0,0
37,Lucien Aimar,10,1,1966-07-14,Total Distance,4329.0,General Classification,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France",,Lucien,Aimar,France ,N,,1941-04-28,,,,,78  years,1941-04-28,Hyères (Provence-Alpes-Cote d'Azur), France ,,,,1963,1973,0,0,0,0,10,0,0,0,0
38,Lucien Buysse,20,1,1926-07-18,Total Distance,5745.0,General Classification,,"Paris (Ile-de-France), France",,Lucien,Buysse,Belgium ,N,,1892-11-09,,,,,87 years,1892-11-09,Wontergem (Oost-Vlaanderen), Belgium ,03-01-1980,    Deinze (Oost-Vlaanderen), Belgium,1913,1933,0,0,0,0,20,0,0,0,0
39,Lucien Petit-Breton,12,2,1908-09-08,Total Distance,4488.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Lucien,Petit-Breton,France ,N,,1882-10-18,,,,,35 years,1882-10-18,Plessé (Pays de la Loire), France ,20-12-1917,    Troyes (Champagne-Ardenne), France,1902,1914,0,0,0,0,12,0,0,0,0
40,Lucien Van Impe,18,1,1976-07-18,Total Distance,4016.0,General Classification,"    Saint-Jean-de-Monts (Pays de la Loire), France ","Paris (Ile-de-France), France",,Lucien,Van Impe,Belgium ,N,,1946-10-20,,,,,72  years,1946-10-20,Erpe-Mere (Oost-Vlaanderen), Belgium ,,,,1969,1987,0,0,0,0,18,0,0,0,0
41,Luis Ocaña Pernia,9,1,1973-07-22,Total Distance,4140.0,General Classification,,"Paris (Ile-de-France), France",,Luis,Ocaña Pernia,Spain ,N,,1945-09-06,,,,,48 years,1945-09-06,Priego (Castilla-La Mancha), Spain ,19-05-1994,    Caupenne-d'Armagnac (Midi-Pyrenees), France,1968,1977,0,0,0,0,9,0,0,0,0
42,Léon Scieur,12,1,1921-07-24,Total Distance,5484.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Léon,Scieur,Belgium ,N,,1888-03-19,,,,,81 years,1888-03-19,Florennes (Namur), Belgium ,07-10-1969,    Florennes (Namur), Belgium,1913,1925,0,0,0,0,12,0,0,0,0
43,Marco Pantani,11,1,1998-02-08,Total Distance,3877.0,General Classification,,"Paris (Ile-de-France), France",,Marco,Pantani,Italy ,N,,1970-01-13,,,,,34 years,1970-01-13,Cesena (Emilia-Romagna), Italy ,14-02-2004,    Rimini (Emilia-Romagna), Italy,1992,2003,0,0,0,0,11,0,0,0,0
44,Maurice De Waele,10,1,1929-07-28,Total Distance,5286.0,General Classification,,"Paris (Ile-de-France), France",,Maurice,De Waele,Belgium ,N,,1896-12-27,,,,,55 years,1896-12-27,Lovendegem (Oost-Vlaanderen), Belgium ,14-02-1952,    Maldegem (Oost-Vlaanderen), Belgium,1921,1931,0,0,0,0,10,0,0,0,0
45,Maurice Garin,18,1,1903-07-19,Total Distance,2428.0,General Classification,,"Paris (Ile-de-France), France",,Maurice,Garin,France ,Y,   ITA ,1871-03-03, 21-12-1901,   FRA ,1901-12-21, 19-02-1957,85 years,1871-03-03,Arvier (Valle d'Aosta), Italy ,19-02-1957,    Lens (Nord-Pas-de-Calais), France,1893,1911,0,0,0,0,18,0,0,0,0
46,Miguel Maria Indurain Larraya,12,5,1995-07-23,Total Distance,3635.0,General Classification,,"Paris (Ile-de-France), France",,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0
47,Nicolas Frantz,12,2,1928-07-15,Total Distance,5377.0,General Classification,,"Paris (Ile-de-France), France",,Nicolas,Frantz,Luxemburg ,N,,1899-04-11,,,,,86 years,1899-04-11,Mamer (Luxembourg), Luxemburg ,08-11-1985,    Luxembourg (Luxembourg), Luxemburg,1922,1934,0,0,0,0,12,0,0,0,0
48,Octave Lapize,5,1,1910-07-31,Total Distance,4644.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Octave,Lapize,France ,N,,1887-10-24,,,,,29 years,1887-10-24,Montrouge (Ile-de-France), France ,14-07-1917,    Toul (Lorraine), France,1909,1914,0,0,0,0,5,0,0,0,0
49,Odiel Defraeye,10,1,1912-07-28,Total Distance,5319.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Odiel,Defraeye,Belgium ,N,,1888-07-14,,,,,77 years,1888-07-14,Rumbeke (West-Vlaanderen), Belgium ,21-08-1965,    Bierges (Brabant Wallon), Belgium,1909,1914,1919,1924,0,0,5,5,5,0,0
50,Ottavio Bottecchia,5,2,1925-07-19,Total Distance,5430.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Ottavio,Bottecchia,Italy ,N,,1894-01-08,,,,,32 years,1894-01-08,San Martino (Veneto), Italy ,15-06-1927,    Gemona del Friuli (Friuli-Venezia Giulia), Italy,1922,1927,0,0,0,0,5,0,0,0,0
51,Pedro Delgado Robledo,12,1,1988-07-24,Total Distance,3282.0,General Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Pedro,Delgado Robledo,Spain ,N,,1960-04-15,,,,,59  years,1960-04-15,Segovia (Castilla y Leon), Spain ,,,,1982,1994,0,0,0,0,12,0,0,0,0
52,Philippe Thys,15,3,1920-07-25,Total Distance,5503.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Philippe,Thys,Belgium ,N,,1889-08-10,,,,,81 years,1889-08-10,Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium ,17-01-1971,    Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium,1912,1927,0,0,0,0,15,0,0,0,0
53,René Pottier,2,1,1906-07-29,Total Distance,4545.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,René,Pottier,France ,N,,1879-05-06,,,,,27 years,1879-05-06,Moret-sur-Loing (Ile-de-France), France ,25-01-1907,    Levallois-Perret (Ile-de-France), France,1904,1906,0,0,0,0,2,0,0,0,0
54,Roger Lapébie,7,1,1937-07-25,Total Distance,4415.0,General Classification,,"Paris (Ile-de-France), France",,Roger,Lapébie,France ,N,,1911-01-16,,,,,85 years,1911-01-16,Bayonne (Aquitaine), France ,12-10-1996,    Pessac (Aquitaine), France,1932,1939,1946,1946,0,0,7,7,0,0,0
55,Roger Pingeon,9,1,1967-07-23,Total Distance,4780.0,General Classification,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France",,Roger,Pingeon,France ,N,,1940-08-28,,,,,76 years,1940-08-28,Hauteville-Lompnes (Rhone-Alpes), France ,19-03-2017,    Beaupont (Rhone-Alpes), France,1965,1974,0,0,0,0,9,0,0,0,0
56,Roger Walkowiak,11,1,1956-07-28,Total Distance,4498.0,General Classification,"    Reims (Champagne-Ardenne), France ","Paris (Ile-de-France), France",,Roger,Walkowiak,France ,N,,1927-02-03,,,,,89 years,1927-02-03,Montluçon (Auvergne), France ,06-02-2017,    Vichy (Auvergne), France,1949,1960,0,0,0,0,11,0,0,0,0
57,Romain Maes,12,1,1935-07-28,Total Distance,4328.0,General Classification,,"Paris (Ile-de-France), France",,Romain,Maes,Belgium ,N,,1912-10-08,,,,,70 years,1912-10-08,Zerkegem (West-Vlaanderen), Belgium ,22-02-1983,    Groot-Bijgaarden (Brabant), Belgium,1933,1945,0,0,0,0,12,0,0,0,0
58,Stephen Roche,11,1,1987-07-26,Total Distance,4231.0,General Classification,,"Paris (Ile-de-France), France",,Stephen,Roche,Ireland ,N,,1959-11-28,,,,,59  years,1959-11-28,Dundrum (Dublin), Ireland ,,,,1982,1993,0,0,0,0,11,0,0,0,0
59,Sylvère Maes,16,2,1939-07-30,Total Distance,4224.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Sylvère,Maes,Belgium ,N,,1909-08-27,,,,,57 years,1909-08-27,Zevekote (West-Vlaanderen), Belgium ,05-12-1966,    Oostende (West-Vlaanderen), Belgium,1932,1948,0,0,0,0,16,0,0,0,0
60,Vincenzo Nibali,14,1,2014-07-27,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Vincenzo,Nibali,Italy ,N,,1984-11-14,,,,,34  years,1984-11-14,Messina (Sicilia), Italy ,,,,2005,0,0,0,0,0,0,0,0,0,0
61,Óscar Pereiro Sio,10,1,2006-07-23,Total Distance,0.0,General Classification,,,WT/WT/GT,Óscar,Pereiro Sio,Spain ,N,,1977-03-08,,,,,42  years,1977-03-08,Pontevedra (Galicia), Spain ,,,,2000,2010,0,0,0,0,10,0,0,0,0
