,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span,Total Career Span,Full Name
271,2009-07-26,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Alberto,Contador Velasco,Spain ,N,,1982-06-12,,,,,36  years,1982-06-12,Madrid (Madrid), Spain ,,,,2003,2017,0,0,0,0,14,0,0,0,0,14,Alberto Contador Velasco
294,2008-07-27,Total Distance,0.0,General Classification,,,NE,Carlos,Sastre Candil,Spain ,N,,1975-04-23,,,,,44  years,1975-04-23,Madrid (Madrid), Spain ,,,,1997,2011,0,0,0,0,14,0,0,0,0,14,Carlos Sastre Candil
319,2007-07-29,Total Distance,0.0,General Classification,,,WT/WT/GT,Alberto,Contador Velasco,Spain ,N,,1982-06-12,,,,,36  years,1982-06-12,Madrid (Madrid), Spain ,,,,2003,2017,0,0,0,0,14,0,0,0,0,14,Alberto Contador Velasco
345,2006-07-23,Total Distance,0.0,General Classification,,,WT/WT/GT,Óscar,Pereiro Sio,Spain ,N,,1977-03-08,,,,,42  years,1977-03-08,Pontevedra (Galicia), Spain ,,,,2000,2010,0,0,0,0,10,0,0,0,0,10,Óscar Pereiro Sio
367,2005-07-24,Total Distance,0.0,General Classification,,,WT/WT/GT,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
392,2004-07-25,Total Distance,0.0,General Classification,,,WT/WT/GT,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
419,2003-07-27,Total Distance,0.0,General Classification,,,WT/WT/GT,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
442,2002-07-28,Total Distance,0.0,General Classification,,,WT/WT/GT,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
469,2001-07-29,Total Distance,3458.0,General Classification,"    Dunkerque (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France",,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
494,2000-07-23,Total Distance,3662.0,General Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
518,1999-07-25,Total Distance,3687.0,General Classification,,"Paris (Ile-de-France), France",,Lance,Armstrong,United States of America ,N,,1971-09-18,,,,,47  years,1971-09-18,Plano (Texas), United States of America ,,,,1992,2005,2009,2011,0,0,13,4,2,0,0,15,Lance Armstrong
543,1998-02-08,Total Distance,3877.0,General Classification,,"Paris (Ile-de-France), France",,Marco,Pantani,Italy ,N,,1970-01-13,,,,,34 years,1970-01-13,Cesena (Emilia-Romagna), Italy ,14-02-2004,    Rimini (Emilia-Romagna), Italy,1992,2003,0,0,0,0,11,0,0,0,0,11,Marco Pantani
569,1997-07-27,Total Distance,3944.0,General Classification,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France",,Jan,Ullrich,Germany ,N,,1973-02-12,,,,,45  years,1973-02-12,Rostock (Mecklenburg-Vorpommern), German Democratic Republik ,,,,1995,2006,0,0,0,0,11,0,0,0,0,11,Jan Ullrich
594,1996-07-21,Total Distance,3765.0,General Classification,"    's-Hertogenbosch (Noord-Brabant), The Netherlands ","Paris (Ile-de-France), France",,Bjarne,Lykkegård Riis,Denmark ,N,,1964-03-04,,,,,55  years,1964-03-04,Herning (Midtjyllen), Denmark ,,,,1986,1999,0,0,0,0,13,0,0,0,0,13,Bjarne Lykkegård Riis
620,1995-07-23,Total Distance,3635.0,General Classification,,"Paris (Ile-de-France), France",,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0,12,Miguel Maria Indurain Larraya
646,1994-07-24,Total Distance,3915.0,General Classification,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France",,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0,12,Miguel Maria Indurain Larraya
671,1993-07-25,Total Distance,0.0,General Classification,,,WT/WT/GT,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0,12,Miguel Maria Indurain Larraya
695,1992-07-26,Total Distance,3983.0,General Classification,"    Donostia/San Sebastián (Pais Vasco), Spain ","Paris (Ile-de-France), France",,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0,12,Miguel Maria Indurain Larraya
725,1991-07-28,Total Distance,3914.0,General Classification,"    Lyon (Rhone-Alpes), France ","Paris (Ile-de-France), France",,Miguel Maria,Indurain Larraya,Spain ,N,,1964-07-16,,,,,55  years,1964-07-16,Villava (Navarra), Spain ,,,,1984,1996,0,0,0,0,12,0,0,0,0,12,Miguel Maria Indurain Larraya
751,1990-07-22,Total Distance,3449.0,General Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,1961-06-26,,,,,58  years,1961-06-26,Lakewood (California), United States of America ,,,,1981,1994,0,0,0,0,13,0,0,0,0,13,Greg LeMond
774,1989-07-23,Total Distance,3285.0,General Classification,,"Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,1961-06-26,,,,,58  years,1961-06-26,Lakewood (California), United States of America ,,,,1981,1994,0,0,0,0,13,0,0,0,0,13,Greg LeMond
803,1988-07-24,Total Distance,3282.0,General Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Pedro,Delgado Robledo,Spain ,N,,1960-04-15,,,,,59  years,1960-04-15,Segovia (Castilla y Leon), Spain ,,,,1982,1994,0,0,0,0,12,0,0,0,0,12,Pedro Delgado Robledo
834,1987-07-26,Total Distance,4231.0,General Classification,,"Paris (Ile-de-France), France",,Stephen,Roche,Ireland ,N,,1959-11-28,,,,,59  years,1959-11-28,Dundrum (Dublin), Ireland ,,,,1982,1993,0,0,0,0,11,0,0,0,0,11,Stephen Roche
863,1986-07-27,Total Distance,4094.0,General Classification,"    Boulogne-Billancourt (Ile-de-France), France ","Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,1961-06-26,,,,,58  years,1961-06-26,Lakewood (California), United States of America ,,,,1981,1994,0,0,0,0,13,0,0,0,0,13,Greg LeMond
888,1985-07-21,Total Distance,4107.0,General Classification,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0,11,Bernard Hinault
919,1984-07-22,Total Distance,4021.0,General Classification,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France",,Laurent,Fignon,France ,N,,1960-12-08,,,,,50 years,1960-12-08,Paris (Ile-de-France), France ,31-08-2010,    Paris (Ile-de-France), France,1982,1993,0,0,0,0,11,0,0,0,0,11,Laurent Fignon
951,1983-07-24,Total Distance,3860.0,General Classification,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France",,Laurent,Fignon,France ,N,,1960-12-08,,,,,50 years,1960-12-08,Paris (Ile-de-France), France ,31-08-2010,    Paris (Ile-de-France), France,1982,1993,0,0,0,0,11,0,0,0,0,11,Laurent Fignon
976,1982-07-25,Total Distance,3512.0,General Classification,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0,11,Bernard Hinault
1006,1981-07-19,Total Distance,3756.0,General Classification,"    Nice (Provence-Alpes-Cote d'Azur), France ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0,11,Bernard Hinault
1037,1980-07-20,Total Distance,3847.0,General Classification,"    Frankfurt am Main (Hessen), Germany ","Paris (Ile-de-France), France",,Joop,Zoetemelk,The Netherlands ,N,,1946-03-12,,,,,72  years,1946-03-12,Rijpwetering (Zuid-Holland), The Netherlands ,,,,1970,1987,0,0,0,0,17,0,0,0,0,17,Joop Zoetemelk
1065,1979-07-22,Total Distance,3720.0,General Classification,"    Fleurance (Midi-Pyrenees), France ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0,11,Bernard Hinault
1094,1978-07-23,Total Distance,3919.0,General Classification,"    Leiden (Zuid-Holland), The Netherlands ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0,11,Bernard Hinault
1126,1977-07-24,Total Distance,4092.0,General Classification,"    Fleurance (Midi-Pyrenees), France ","Paris (Ile-de-France), France",,Bernard,Thévenet,France ,N,,1948-10-01,,,,,71  years,1948-10-01,Saint-Julien-de-Civry (Bourgogne), France ,,,,1970,1981,0,0,0,0,11,0,0,0,0,11,Bernard Thévenet
1158,1976-07-18,Total Distance,4016.0,General Classification,"    Saint-Jean-de-Monts (Pays de la Loire), France ","Paris (Ile-de-France), France",,Lucien,Van Impe,Belgium ,N,,1946-10-20,,,,,72  years,1946-10-20,Erpe-Mere (Oost-Vlaanderen), Belgium ,,,,1969,1987,0,0,0,0,18,0,0,0,0,18,Lucien Van Impe
1186,1975-07-20,Total Distance,3999.0,General Classification,"    Charleroi (Hainaut), Belgium ","Paris (Ile-de-France), France",,Bernard,Thévenet,France ,N,,1948-10-01,,,,,71  years,1948-10-01,Saint-Julien-de-Civry (Bourgogne), France ,,,,1970,1981,0,0,0,0,11,0,0,0,0,11,Bernard Thévenet
1218,1974-07-21,Total Distance,4098.0,General Classification,"    Brest (Bretagne), France ","Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0,13,Eddy Merckx
1247,1973-07-22,Total Distance,4140.0,General Classification,,"Paris (Ile-de-France), France",,Luis,Ocaña Pernia,Spain ,N,,1945-09-06,,,,,48 years,1945-09-06,Priego (Castilla-La Mancha), Spain ,19-05-1994,    Caupenne-d'Armagnac (Midi-Pyrenees), France,1968,1977,0,0,0,0,9,0,0,0,0,9,Luis Ocaña Pernia
1275,1972-07-23,Total Distance,3846.0,General Classification,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0,13,Eddy Merckx
1303,1971-07-18,Total Distance,3689.0,General Classification,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0,13,Eddy Merckx
1335,1970-07-19,Total Distance,4366.0,General Classification,,"Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0,13,Eddy Merckx
1364,1969-07-20,Total Distance,4117.0,General Classification,"    Roubaix (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France",,Eddy,Merckx,Belgium ,N,,1945-06-17,,,,,74  years,1945-06-17,Meensel-Kiezegem (Brabant), Belgium ,,,,1965,1978,0,0,0,0,13,0,0,0,0,13,Eddy Merckx
1393,1968-07-21,Total Distance,4684.0,General Classification,"    Vittel (Lorraine), France ","Paris (Ile-de-France), France",,Jan,Janssen,The Netherlands ,N,,1940-05-19,,,,,79  years,1940-05-19,Nootdorp (Zuid-Holland), The Netherlands ,,,,1961,1973,0,0,0,0,12,0,0,0,0,12,Jan Janssen
1421,1967-07-23,Total Distance,4780.0,General Classification,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France",,Roger,Pingeon,France ,N,,1940-08-28,,,,,76 years,1940-08-28,Hauteville-Lompnes (Rhone-Alpes), France ,19-03-2017,    Beaupont (Rhone-Alpes), France,1965,1974,0,0,0,0,9,0,0,0,0,9,Roger Pingeon
1449,1966-07-14,Total Distance,4329.0,General Classification,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France",,Lucien,Aimar,France ,N,,1941-04-28,,,,,78  years,1941-04-28,Hyères (Provence-Alpes-Cote d'Azur), France ,,,,1963,1973,0,0,0,0,10,0,0,0,0,10,Lucien Aimar
1476,1965-07-14,Total Distance,4177.0,General Classification,"    Köln (Nordrhein-Westfalen), Germany ","Paris (Ile-de-France), France",,Felice,Gimondi,Italy ,N,,1942-09-29,,,,,76 years,1942-09-29,Sedrina (Lombardia), Italy ,16-08-2019,    Giardini-Naxos (Sicilia), Italy,1965,1979,0,0,0,0,14,0,0,0,0,14,Felice Gimondi
1505,1964-07-14,Total Distance,4505.0,General Classification,,"Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0,16,Jacques Anquetil
1531,1963-07-14,Total Distance,4137.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0,16,Jacques Anquetil
1557,1962-07-15,Total Distance,4273.0,General Classification,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0,16,Jacques Anquetil
1582,1961-07-16,Total Distance,4397.0,General Classification,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0,16,Jacques Anquetil
1609,1960-07-17,Total Distance,4173.0,General Classification,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France",,Gastone,Nencini,Italy ,N,,1930-01-03,,,,,49 years,1930-01-03,Barberino di Mugello (Toscana), Italy ,01-02-1980,    Florence (Toscana), Italy,1953,1965,0,0,0,0,12,0,0,0,0,12,Gastone Nencini
1634,1959-07-18,Total Distance,4367.0,General Classification,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France",,Federico,Martín Bahamontes,Spain ,N,,1928-09-07,,,,,91  years,1928-09-07,Val de Santo Domingo (Castilla-La Mancha), Spain ,,,,1953,1965,0,0,0,0,12,0,0,0,0,12,Federico Martín Bahamontes
1660,1958-07-19,Total Distance,4319.0,General Classification,,"Paris (Ile-de-France), France",,Charly,Gaul,Luxemburg ,N,,1932-08-12,,,,,72 years,1932-08-12,Pfaffental (Diekirch), Luxemburg ,06-12-2005,    Itzig (Luxembourg), Luxemburg,1953,1965,0,0,0,0,12,0,0,0,0,12,Charly Gaul
1688,1957-07-20,Total Distance,4665.0,General Classification,"    Nantes (Pays de la Loire), France ","Paris (Ile-de-France), France",,Jacques,Anquetil,France ,N,,1934-08-01,,,,,53 years,1934-08-01,Mont-Saint-Aignan (Haute-Normandie), France ,18-11-1987,    La Neuville-Champ-d'Oisel (Haute-Normandie), France,1953,1969,0,0,0,0,16,0,0,0,0,16,Jacques Anquetil
1712,1956-07-28,Total Distance,4498.0,General Classification,"    Reims (Champagne-Ardenne), France ","Paris (Ile-de-France), France",,Roger,Walkowiak,France ,N,,1927-02-03,,,,,89 years,1927-02-03,Montluçon (Auvergne), France ,06-02-2017,    Vichy (Auvergne), France,1949,1960,0,0,0,0,11,0,0,0,0,11,Roger Walkowiak
1740,1955-07-30,Total Distance,4476.0,General Classification,"    Le Havre (Haute-Normandie), France ","Paris (Ile-de-France), France",,Louison,Bobet,France ,N,,1925-12-03,,,,,58 years,1925-12-03,Saint-Méen-le-Grand (Bretagne), France ,13-03-1983,    Biarritz (Aquitaine), France,1947,1962,0,0,0,0,15,0,0,0,0,15,Louison Bobet
1768,1954-01-08,Total Distance,0.0,General Classification,,,,Louison,Bobet,France ,N,,1925-12-03,,,,,58 years,1925-12-03,Saint-Méen-le-Grand (Bretagne), France ,13-03-1983,    Biarritz (Aquitaine), France,1947,1962,0,0,0,0,15,0,0,0,0,15,Louison Bobet
1791,1953-07-26,Total Distance,4476.0,General Classification,"    Strasbourg (Alsace), France ","Paris (Ile-de-France), France",,Louison,Bobet,France ,N,,1925-12-03,,,,,58 years,1925-12-03,Saint-Méen-le-Grand (Bretagne), France ,13-03-1983,    Biarritz (Aquitaine), France,1947,1962,0,0,0,0,15,0,0,0,0,15,Louison Bobet
1817,1952-07-19,Total Distance,4827.0,General Classification,"    Brest (Bretagne), France ","Paris (Ile-de-France), France",,Fausto,Coppi,Italy ,N,,1919-09-15,,,,,40 years,1919-09-15,Castellania (Piemonte), Italy ,02-01-1960,    Tortona (Piemonte), Italy,1938,1942,1945,1959,0,0,4,3,14,0,0,18,Fausto Coppi
1844,1951-07-29,Total Distance,4692.0,General Classification,"    Metz (Lorraine), France ","Paris (Ile-de-France), France",,Hugo,Koblet,Switzerland ,N,,1925-03-21,,,,,39 years,1925-03-21,Zürich (Zürich), Switzerland ,06-11-1964,    Uster (Zürich), Switzerland,1946,1958,0,0,0,0,12,0,0,0,0,12,Hugo Koblet
1868,1950-07-08,Total Distance,4775.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Ferdi,Kübler,Switzerland ,N,,1919-07-24,,,,,97 years,1919-07-24,Marthalen (Schaffhausen), Switzerland ,29-12-2016,    Zürich (Zürich), Switzerland,1940,1957,0,0,0,0,17,0,0,0,0,17,Ferdi Kübler
1890,1949-07-24,Total Distance,4808.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Fausto,Coppi,Italy ,N,,1919-09-15,,,,,40 years,1919-09-15,Castellania (Piemonte), Italy ,02-01-1960,    Tortona (Piemonte), Italy,1938,1942,1945,1959,0,0,4,3,14,0,0,18,Fausto Coppi
1913,1948-07-25,Total Distance,4922.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Gino,Bartali,Italy ,N,,1914-07-18,,,,,85 years,1914-07-18,Ponte a Ema (Toscana), Italy ,05-05-2000,    Firenze (Toscana), Italy,1935,1954,0,0,0,0,19,0,0,0,0,19,Gino Bartali
1937,1947-07-20,Total Distance,4642.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Jean,Robic,France ,N,,1921-10-06,,,,,59 years,1921-10-06,Condé-lès-Vouziers (Champagne-Ardenne), France ,06-10-1980,    Claye-Souilly (Ile-de-France), France,1943,1961,0,0,0,0,18,0,0,0,0,18,Jean Robic
1967,1939-07-30,Total Distance,4224.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Sylvère,Maes,Belgium ,N,,1909-08-27,,,,,57 years,1909-08-27,Zevekote (West-Vlaanderen), Belgium ,05-12-1966,    Oostende (West-Vlaanderen), Belgium,1932,1948,0,0,0,0,16,0,0,0,0,16,Sylvère Maes
1997,1938-07-31,Total Distance,4687.0,General Classification,,"Paris (Ile-de-France), France",,Gino,Bartali,Italy ,N,,1914-07-18,,,,,85 years,1914-07-18,Ponte a Ema (Toscana), Italy ,05-05-2000,    Firenze (Toscana), Italy,1935,1954,0,0,0,0,19,0,0,0,0,19,Gino Bartali
2031,1937-07-25,Total Distance,4415.0,General Classification,,"Paris (Ile-de-France), France",,Roger,Lapébie,France ,N,,1911-01-16,,,,,85 years,1911-01-16,Bayonne (Aquitaine), France ,12-10-1996,    Pessac (Aquitaine), France,1932,1939,1946,1946,0,0,7,7,0,0,0,7,Roger Lapébie
2060,1936-08-08,Total Distance,4437.0,General Classification,,"Paris (Ile-de-France), France",,Sylvère,Maes,Belgium ,N,,1909-08-27,,,,,57 years,1909-08-27,Zevekote (West-Vlaanderen), Belgium ,05-12-1966,    Oostende (West-Vlaanderen), Belgium,1932,1948,0,0,0,0,16,0,0,0,0,16,Sylvère Maes
2088,1935-07-28,Total Distance,4328.0,General Classification,,"Paris (Ile-de-France), France",,Romain,Maes,Belgium ,N,,1912-10-08,,,,,70 years,1912-10-08,Zerkegem (West-Vlaanderen), Belgium ,22-02-1983,    Groot-Bijgaarden (Brabant), Belgium,1933,1945,0,0,0,0,12,0,0,0,0,12,Romain Maes
2115,1934-07-29,Total Distance,4363.0,General Classification,,"Paris (Ile-de-France), France",,Antonin,Magne,France ,N,,1904-02-15,,,,,79 years,1904-02-15,Ytrac (Auvergne), France ,08-09-1983,    Arcachon (Aquitaine), France,1926,1941,0,0,0,0,15,0,0,0,0,15,Antonin Magne
2140,1933-07-23,Total Distance,0.0,General Classification,,"Paris (Ile-de-France), France",,Georges,Speicher,France ,N,,1907-08-06,,,,,70 years,1907-08-06,Paris (Ile-de-France), France ,24-01-1978,    Maisons-Laffitte (Ile-de-France), France,1930,1944,0,0,0,0,14,0,0,0,0,14,Georges Speicher
2163,1932-07-31,Total Distance,4520.0,General Classification,,"Paris (Ile-de-France), France",,André,Leducq,France ,N,,1904-02-27,,,,,76 years,1904-02-27,Saint-Ouen (Ile-de-France), France ,18-06-1980,    Marseille (Provence-Alpes-Cote d'Azur), France,1926,1939,0,0,0,0,13,0,0,0,0,13,André Leducq
2188,1931-07-26,Total Distance,5095.0,General Classification,,"Paris (Ile-de-France), France",,Antonin,Magne,France ,N,,1904-02-15,,,,,79 years,1904-02-15,Ytrac (Auvergne), France ,08-09-1983,    Arcachon (Aquitaine), France,1926,1941,0,0,0,0,15,0,0,0,0,15,Antonin Magne
2211,1930-07-27,Total Distance,4818.0,General Classification,,"Paris (Ile-de-France), France",,André,Leducq,France ,N,,1904-02-27,,,,,76 years,1904-02-27,Saint-Ouen (Ile-de-France), France ,18-06-1980,    Marseille (Provence-Alpes-Cote d'Azur), France,1926,1939,0,0,0,0,13,0,0,0,0,13,André Leducq
2235,1929-07-28,Total Distance,5286.0,General Classification,,"Paris (Ile-de-France), France",,Maurice,De Waele,Belgium ,N,,1896-12-27,,,,,55 years,1896-12-27,Lovendegem (Oost-Vlaanderen), Belgium ,14-02-1952,    Maldegem (Oost-Vlaanderen), Belgium,1921,1931,0,0,0,0,10,0,0,0,0,10,Maurice De Waele
